dgp,N,T,true_rank_vector,rate_denominator,attempted_replications,numerically_acceptable_spectral_pilots,pilot_acceptance_rate,exact_recovery,exact_recovery_rate,underselection_only,underselection_only_rate,overselection_only,overselection_only_rate,mixed_rank_errors,mixed_rank_error_rate,unresolved_selections,unresolved_rate,selection_at_reportable_cap,final_postrefit_attempted,final_postrefit_valid,selected_rank_0_0_0,selected_rank_1_1_1,selected_rank_2_1_1,selected_rank_1_0_2,other_selected_rank,modal_selected_rank,downstream_state,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,intended_r2,r2_scale_identified,theoretical_max_abs_A,theoretical_max_abs_B,theoretical_max_abs_H,theoretical_coefficient_envelope,calibration_source
2,200,200,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8207030470717459,0.30000000000000004,0.30000000000000004,0.65,0.6499999999998519,0.65,True,0.85,1.7774613391789282,2.791769352151855,2.791769352151855,frozen_ex_ante_table
3,50,50,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5339217468685004,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
3,50,50,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,2.120385538189203,0.30000000000000004,0.30000000000000004,0.65,0.6499999999985444,0.65,True,0.85,1.7774613391789282,7.212873622662619,7.212873622662619,frozen_ex_ante_table
3,50,50,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8543881983884781,0.30000000000000004,0.30000000000000004,0.65,0.64999999999639,0.65,True,0.85,1.7774613391789282,2.906355466342838,2.906355466342838,frozen_ex_ante_table
3,100,100,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5322227606458266,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
3,100,100,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,2.2061769220223826,0.30000000000000004,0.30000000000000004,0.65,0.6500000000035006,0.65,True,0.85,1.7774613391789282,7.504708479275779,7.504708479275779,frozen_ex_ante_table
3,100,100,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8726943523347386,0.30000000000000004,0.30000000000000004,0.65,0.6499999999910316,0.65,True,0.85,1.7774613391789282,2.968627148804955,2.968627148804955,frozen_ex_ante_table
3,100,200,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5350630611231841,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
3,100,200,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,2.1416938733206283,0.30000000000000004,0.30000000000000004,0.65,0.6499999999996503,0.65,True,0.85,1.7774613391789282,7.285357765590497,7.285357765590497,frozen_ex_ante_table
3,100,200,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8704685622272422,0.30000000000000004,0.30000000000000004,0.65,0.6499999999913251,0.65,True,0.85,1.7774613391789282,2.9610557225398737,2.9610557225398737,frozen_ex_ante_table
3,200,100,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5292955787869738,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
3,200,100,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,2.241495373037153,0.30000000000000004,0.30000000000000004,0.65,0.6499999999998479,0.65,True,0.85,1.7774613391789282,7.624850556803478,7.624850556803478,frozen_ex_ante_table
3,200,100,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8744510423696058,0.30000000000000004,0.30000000000000004,0.65,0.6499999999910472,0.65,True,0.85,1.7774613391789282,2.9746028466143772,2.9746028466143772,frozen_ex_ante_table
3,200,200,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5351422818034989,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
3,200,200,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,2.2219075065583738,0.30000000000000004,0.30000000000000004,0.65,0.6499999999999944,0.65,True,0.85,1.7774613391789282,7.5582188981242355,7.5582188981242355,frozen_ex_ante_table
3,200,200,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8599423011956112,0.30000000000000004,0.30000000000000004,0.65,0.6499999999951603,0.65,True,0.85,1.7774613391789282,2.9252487482076717,2.9252487482076717,frozen_ex_ante_table
4,50,50,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5365897328913953,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
4,50,50,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,2.436662061551646,0.30000000000000004,0.30000000000000004,0.65,0.65,0.65,True,0.85,1.71466333698683,8.288745227963506,8.288745227963506,frozen_ex_ante_table
4,50,50,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.850942551227217,0.30000000000000004,0.30000000000000004,0.65,0.6499999999972249,0.65,True,0.85,1.71466333698683,2.8946344764215013,2.8946344764215013,frozen_ex_ante_table
