dgp,N,method,target,target_group,true_value_mean,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,mean_interval_length,point_retained,inference_retained,attempted,extreme_finite_estimate_count
1,100,fixed_rank,A_G2_minus_G1_fixed_time,local_plugin,-0.0005815194466288973,-0.0027527473635561416,-0.002171227916927244,0.013027138464752333,0.006695491717766993,0.01053695665202399,1.0,0.04130411108925354,3,3,3,1
1,100,fixed_rank,A_G2_minus_G1_time_average,broad,-0.001351256286778826,-0.003477108918069131,-0.0021258526312903044,0.017542588011365674,0.011671378774207007,0.015592804859918812,1.0,0.06112267188680399,3,3,3,0
1,100,fixed_rank,A_G2_time_average,broad,0.49252659515338726,0.4762081235935712,-0.016318471559816045,0.019613224040219923,0.01502031433900353,0.012492633968932678,0.6666666666666666,0.04897022530229944,3,3,3,1
1,100,fixed_rank,A_entry,local_plugin,0.4186081266748174,0.38952904916319553,-0.029079077511621837,0.0949655985601433,0.1428749866248531,0.08634921873566796,1.0,0.33848271763016086,3,3,3,0
1,100,fixed_rank,A_fixed_time_mean,local_plugin,0.44137351434721595,0.4017891520182602,-0.03958436232895577,0.053591430722039736,0.04041376081825191,0.07455229881710983,1.0,0.29223964129240665,3,3,3,0
1,100,fixed_rank,A_full_mean,broad,0.4932022232967766,0.47794667805260566,-0.015255545244170943,0.015452290493748707,0.02068448351094973,0.009581072411942887,1.0,0.037557113721356734,3,3,3,0
1,100,fixed_rank,B_G1_fixed_time,local_plugin,0.7266270959348967,0.8670040537281715,0.14037695779327486,0.2590922346985409,0.31055987074425295,0.15741511262028487,0.6666666666666666,0.6170559027161499,3,3,3,0
1,100,fixed_rank,B_G1_time_average,broad,0.6176751785642721,0.6567049147458867,0.039029736181614504,0.05259364177098687,0.014184441829021198,0.03015976232106597,0.6666666666666666,0.11822409586315487,3,3,3,0
1,100,fixed_rank,B_G2_fixed_time,local_plugin,0.7449238048178485,0.8144968785977653,0.06957307377991678,0.18787491246607896,0.2918433513371392,0.14738014159077875,0.6666666666666666,0.5777195391086801,3,3,3,0
1,100,fixed_rank,B_G2_minus_G1_fixed_time,local_plugin,0.01829670888295187,-0.052507175130406224,-0.07080388401335809,0.08300205555093872,0.09603674105577086,0.044593777092267195,0.6666666666666666,0.174804394070902,3,3,3,0
1,100,fixed_rank,B_G2_minus_G1_time_average,broad,0.009320906829908798,-0.04586090058537731,-0.05518180741528611,0.059994719721706787,0.06349815777550297,0.04160038157041796,0.6666666666666666,0.16307049924228603,3,3,3,0
1,100,fixed_rank,B_G2_time_average,broad,0.626996085394181,0.6108440141605095,-0.016152071233671534,0.021644077187597578,0.05288287464280804,0.030104686757884535,1.0,0.11800820362262715,3,3,3,0
1,100,fixed_rank,B_entry,local_plugin,0.49465998725318583,0.7055470655506978,0.21088707829751188,0.3162432387430872,0.21358675990098067,0.32515192056771197,1.0,1.2745721076334877,3,3,3,0
1,100,fixed_rank,B_fixed_time_mean,local_plugin,0.7357754503763728,0.8407504661629684,0.10497501578659567,0.22246471428338924,0.29749659428308867,0.15070159025617905,0.6666666666666666,0.5907393786300466,3,3,3,1
1,100,fixed_rank,B_full_mean,broad,0.6223356319792267,0.6337744644531975,0.011438832473970892,0.026785014791805412,0.0221561368479085,0.021805454442133804,1.0,0.08547581074622239,3,3,3,0
1,100,selected_rank,A_G1_fixed_time,local_plugin,0.4416642740705305,0.4662745732702327,0.02461029919970224,0.08927918668843846,0.04511931260752129,0.07870075929753788,0.6666666666666666,0.3085013075582601,3,3,3,1
1,100,selected_rank,A_G1_time_average,broad,0.49387785144016605,0.5704798306609735,0.07660197922080751,0.08054217260506685,0.02505547289271334,0.012109560446450741,0.0,0.04746860468730846,3,3,3,0
1,100,selected_rank,A_G2_fixed_time,local_plugin,0.4410827546239016,0.45695982090695986,0.015877066283058277,0.09141266518939913,0.04415056018113437,0.07705427052886236,0.6666666666666666,0.30204719018315274,3,3,3,0
1,100,selected_rank,A_G2_minus_G1_fixed_time,local_plugin,-0.0005815194466288973,-0.00931475236327281,-0.008733232916643912,0.009897439314839523,0.0034781489348118966,0.011071067962541556,1.0,0.043397788953953374,3,3,3,0
1,100,selected_rank,A_G2_minus_G1_time_average,broad,-0.001351256286778826,-0.01270412549720873,-0.011352869210429902,0.013492208392523146,0.0036973758132202083,0.015685214691584057,1.0,0.061484911770566565,3,3,3,1
1,100,selected_rank,A_G2_time_average,broad,0.49252659515338726,0.5577757051637647,0.06524911001037749,0.07244317178671758,0.0284385420701051,0.012449586900608905,0.0,0.048801483895190186,3,3,3,0
1,100,selected_rank,A_entry,local_plugin,0.4186081266748174,0.46284912545404105,0.04424099877922372,0.09788830204124602,0.15447060378522628,0.09168616596219459,1.0,0.3594031663329272,3,3,3,1
1,100,selected_rank,A_fixed_time_mean,local_plugin,0.44137351434721595,0.4616171970885963,0.020243682741380293,0.09021659736512663,0.044603674593450444,0.07767224124967892,0.6666666666666666,0.30446959089575404,3,3,3,0
1,100,selected_rank,A_full_mean,broad,0.4932022232967766,0.5641277679123693,0.07092554461559268,0.0763021456540073,0.026736605085524244,0.009439741753471969,0.0,0.037003107720328075,3,3,3,0
1,100,selected_rank,B_G1_fixed_time,local_plugin,0.7266270959348967,0.0,-0.7266270959348967,0.7470283206655739,0.0,,,,3,0,3,0
1,100,selected_rank,B_G1_time_average,broad,0.6176751785642721,0.0,-0.6176751785642721,0.6181315811341306,0.0,,,,3,0,3,0
1,100,selected_rank,B_G2_fixed_time,local_plugin,0.7449238048178485,0.0,-0.7449238048178485,0.7757876181819616,0.0,,,,3,0,3,0
1,100,selected_rank,B_G2_minus_G1_fixed_time,local_plugin,0.01829670888295187,0.0,-0.01829670888295187,0.049990566450774175,0.0,,,,3,0,3,0
1,100,selected_rank,B_G2_minus_G1_time_average,broad,0.009320906829908798,0.0,-0.009320906829908798,0.03363353569402787,0.0,,,,3,0,3,0
1,100,selected_rank,B_G2_time_average,broad,0.626996085394181,0.0,-0.626996085394181,0.628818439845139,0.0,,,,3,0,3,0
1,100,selected_rank,B_entry,local_plugin,0.49465998725318583,0.0,-0.49465998725318583,0.5617266736313884,0.0,,,,3,0,3,0
1,100,selected_rank,B_fixed_time_mean,local_plugin,0.7357754503763728,0.0,-0.7357754503763728,0.7611334350932937,0.0,,,,3,0,3,0
1,100,selected_rank,B_full_mean,broad,0.6223356319792267,0.0,-0.6223356319792267,0.62327107847349,0.0,,,,3,0,3,0
2,50,fixed_rank,A_G1_fixed_time,local_plugin,0.5557132179080563,0.5334108298367949,-0.022302388071261354,0.13664763954106487,0.20028678410881423,0.08083567738089857,0.6666666666666666,0.31687003266492053,3,3,3,1
2,50,fixed_rank,A_G1_time_average,broad,0.4868927206092874,0.4417561910994959,-0.04513652950979145,0.047927177756138965,0.019322999214343665,0.029073884684302966,0.6666666666666666,0.11396753374380898,3,3,3,0
2,50,fixed_rank,A_G2_fixed_time,local_plugin,0.5575873384860316,0.5325289622890192,-0.025058376197012382,0.14723714371221827,0.202627404270858,0.07891489372064654,0.6666666666666666,0.3093406990725465,3,3,3,1
2,50,fixed_rank,A_G2_minus_G1_fixed_time,local_plugin,0.001874120577975388,-0.0008818675477755786,-0.002755988125750966,0.011808221438762317,0.011765499653193689,0.02631146771625557,1.0,0.10313905820849852,3,3,3,0
2,50,fixed_rank,A_G2_minus_G1_time_average,broad,0.0011943892827948426,-0.0061354429632765285,-0.00732983224607137,0.030029674220402487,0.024352431808143518,0.034393243184238705,1.0,0.1348190359052711,3,3,3,0
2,50,fixed_rank,A_G2_time_average,broad,0.4880871098920821,0.4356207481362196,-0.052466361755862535,0.05639543433851355,0.04360967064915212,0.029117400783648103,0.6666666666666666,0.11413811371873726,3,3,3,0
2,50,fixed_rank,A_entry,local_plugin,0.5655928881068625,0.5450117223225367,-0.020581165784325745,0.1160647730985875,0.18974440353050614,0.110982161275802,1.0,0.4350420780539756,3,3,3,1
2,50,fixed_rank,A_fixed_time_mean,local_plugin,0.5566502781970439,0.5329698960629071,-0.023680382134136906,0.1419183512339116,0.2013745854857954,0.07868640216762693,0.6666666666666666,0.3084450286431664,3,3,3,1
2,50,fixed_rank,A_full_mean,broad,0.4874899152506848,0.43868846961785746,-0.048801445632827324,0.05013266756819581,0.031453626224013397,0.023455828041810515,0.3333333333333333,0.09194515637902655,3,3,3,0
2,50,fixed_rank,B_G1_fixed_time,local_plugin,0.5174222444643909,0.48579056723842445,-0.03163167722596644,0.2565370763832949,0.3410965657706052,0.12093242796680588,0.6666666666666666,0.4740464067558478,3,3,3,0
2,50,fixed_rank,B_G1_time_average,broad,0.5972710443665544,0.6318758610054581,0.034604816638903614,0.0934351842854057,0.087828485111556,0.06301722808972236,0.6666666666666666,0.2470229949228033,3,3,3,0
2,50,fixed_rank,B_G2_fixed_time,local_plugin,0.5382234266874385,0.5230597128291233,-0.015163713858315128,0.32697474307168384,0.41568923754712145,0.12577723155323015,0.3333333333333333,0.49303768783897195,3,3,3,0
2,50,fixed_rank,B_G2_minus_G1_fixed_time,local_plugin,0.020801182223047488,0.03726914559069883,0.016467963367651342,0.1006483938819388,0.15052810107600562,0.046708680363364445,0.6666666666666666,0.18309466255517512,3,3,3,0
2,50,fixed_rank,B_G2_minus_G1_time_average,broad,0.02338025767872151,0.03199735775619856,0.00861710007747705,0.09735790132779794,0.15187288440312555,0.08430397148285505,1.0,0.33046549572017536,3,3,3,0
2,50,fixed_rank,B_G2_time_average,broad,0.6206513020452761,0.6638732187616565,0.04322191671638046,0.08200440951773703,0.07477947872355045,0.0632722229670971,1.0,0.24802255647459667,3,3,3,1
2,50,fixed_rank,B_entry,local_plugin,0.40673262727195847,0.16252351116255895,-0.24420911610939947,0.4120626239186288,0.2942345189762283,0.23757065335019992,0.6666666666666666,0.9312598487000837,3,3,3,0
2,50,fixed_rank,B_fixed_time_mean,local_plugin,0.5278228355759147,0.5044251400337739,-0.02339769554214083,0.2895329899774594,0.372703001588553,0.12036581420016146,0.3333333333333333,0.4718253216043126,3,3,3,0
2,50,fixed_rank,B_full_mean,broad,0.6089611732059151,0.6478745398835574,0.038913366677642225,0.07319691375776669,0.029775213909342253,0.047056871784910255,0.6666666666666666,0.1844595478470863,3,3,3,0
2,50,selected_rank,A_G1_fixed_time,local_plugin,0.5424339274531074,0.5950396651475793,0.05260573769447208,0.11664433996667645,0.24179296700254366,0.0991192005208262,1.0,0.38854012639444624,2,2,3,0
2,50,selected_rank,A_G1_time_average,broad,0.4955625985512452,0.44943968298271764,-0.04612291556852757,0.050128411717870885,0.01981318925259616,0.02887381420124222,0.5,0.11318327186147178,2,2,3,0
2,50,selected_rank,A_G2_fixed_time,local_plugin,0.535969096090275,0.5891382131960534,0.05316911710577846,0.12851425594196567,0.25291046506914455,0.09570365643293119,1.0,0.3751514395946804,2,2,3,0
2,50,selected_rank,A_G2_minus_G1_fixed_time,local_plugin,-0.0064648313628324515,-0.00590145195152607,0.0005633794113063823,0.012903827704868549,0.01111749806660084,0.02739003801874384,1.0,0.10736697610384148,2,2,3,0
2,50,selected_rank,A_G2_minus_G1_time_average,broad,-0.005688735493940953,0.0024636241426147284,0.00815235963655568,0.02508418353972183,0.027474090102073384,0.03286613619544346,1.0,0.12883288650811492,2,2,3,0
2,50,selected_rank,A_G2_time_average,broad,0.4898738630573042,0.4519033071253328,-0.03797055593197138,0.038189923425803136,0.04728727935466994,0.028320570152665436,1.0,0.11101459504172856,2,2,3,0
2,50,selected_rank,A_entry,local_plugin,0.5794988733541322,0.6042485938696406,0.02474972051550836,0.11847595887131415,0.2257853782140441,0.12507050594505795,1.0,0.4902673743610325,2,2,3,0
2,50,selected_rank,A_fixed_time_mean,local_plugin,0.5392015117716912,0.5920889391718165,0.05288742740012525,0.1225531754828494,0.24735171603584405,0.09645072069086234,1.0,0.3780798776740448,2,2,3,0
2,50,selected_rank,A_full_mean,broad,0.4927182308042747,0.45067149505402493,-0.04204673575024975,0.04275932518584628,0.03355023430363295,0.023400669726651828,0.5,0.09172893975670868,2,2,3,0
2,50,selected_rank,B_G1_fixed_time,local_plugin,0.5334279393613116,0.6821979499153956,0.14877001055408398,0.14893931503467236,0.048845215829630736,0.1046927888815139,1.0,0.4103881912976453,2,2,3,0
2,50,selected_rank,B_G1_time_average,broad,0.6037399386789696,0.6387223444734481,0.03498240579447853,0.11235783407051125,0.12320002267077412,0.06259061836230556,0.5,0.2453507155204206,2,2,3,0
