dgp,n,t,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,mean_a,sd_a,mean_b,sd_b,min_a,max_a,min_b,max_b,mean_c_a,max_pre_scaling_abs_a,max_final_abs_a,var_u_tilde,var_h_raw,calibration_draws,minimum_grid_r2,large_c_xi_r2_floor,target_r2_feasible,r2_scale_identified,requested_r2,c_xi_normalization,bracket_lower,bracket_upper,root_residual,infeasible_c_xi_normalization,true_rank_vector,theoretical_max_abs_A,theoretical_max_abs_B,theoretical_max_abs_H,theoretical_coefficient_envelope,realized_calibration_max_abs_A,realized_calibration_max_abs_B,realized_calibration_max_abs_H,recommended_common_B,required_simulation_interior_margin,deterministic_interior_margin,envelope_condition_pass
2,50,50,0.6603060171390341,1.799581084759261,0.3,0.3,0.65,0.6499999999957737,0.4970916831426076,0.11279779613990015,0.5890794871349955,0.3194863523095982,0.2125292497503045,0.85,0.035594235973633835,1.8184911619828923,0.9960684821365369,0.8789288857505457,0.85,1.0079247997358265,0.9907425972722863,50,0.5665986479001349,0.5665976788788665,True,True,0.65,,1.7912844546220021,2.196707090793235,-4.226285987840583e-12,,"[1, 1, 1]",0.85,2.031384387633061,6.174453959798112,6.174453959798112,0.85,1.8184911619828923,5.312908707276596,9.0,1.0,2.825546040201888,True
2,50,50,0.6562409875034498,0.8259050295831432,0.3,0.3,0.65,0.6499999999997388,0.11995915683214851,0.23626173651761279,0.6006794240120495,0.32234696704650956,-0.6219029664500114,0.85,0.02501937689632368,1.793780899177675,0.9963317430106469,0.8969064952446272,0.85,1.0021309336243645,0.9972888847446254,50,0.36816044692024513,0.3681559251343468,True,True,0.65,,0.7920164050192549,0.9712740198471168,-2.6123547769429933e-13,,"[2, 1, 1]",0.85,2.031384387633061,2.816276848498506,2.816276848498506,0.85,1.793780899177675,2.3594281980501965,9.0,1.0,6.1837231515014945,True
2,100,100,0.7296793084798509,1.0,0.3,0.30000000000000004,,0.5312133118822409,0.49801918542362517,0.11013834058141402,0.0,0.0,0.21027067598713517,0.85,0.0,0.0,0.9931423911213503,0.8956003830053079,0.85,1.003954641501675,0.8081151418714276,50,0.5312133118822409,0.5312133118822409,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.7915249065564764,3.7915249065564764,0.85,0.0,3.090388526233794,9.0,1.0,5.208475093443523,True
2,100,100,0.6499730623499577,1.8268614505859098,0.3,0.3,0.65,0.6499999999998175,0.4934018260444227,0.11139435619483996,0.5979962719096983,0.3192464043968838,0.20544715222716742,0.85,0.02014889369837095,1.8266959019283382,0.996756789621339,0.8808677251938136,0.85,0.9976028867552488,1.0120225646198862,50,0.568876945192249,0.5688736734804288,True,True,0.65,,1.7912844546220021,2.196707090793235,-1.8252066524837574e-13,,"[1, 1, 1]",0.85,2.031384387633061,6.169967149368806,6.169967149368806,0.85,1.8266959019283382,5.365550801406538,9.0,1.0,2.830032850631194,True
2,100,100,0.655805429132911,0.8356514098690253,0.3,0.30000000000000004,0.65,0.6499999999990246,0.11757115982701986,0.23758328887206462,0.5936568183222405,0.3183354357463641,-0.631647633714562,0.85,0.02202149599075677,1.9117119607807165,0.9930988017789996,0.896844377179104,0.85,0.9930243969923125,0.9895394612730007,50,0.37488103549926743,0.37488925914998733,True,True,0.65,,0.7920164050192549,0.9712740198471168,-9.754419494356625e-13,,"[2, 1, 1]",0.85,2.031384387633061,2.847620036051377,2.847620036051377,0.85,1.9117119607807165,2.584744469802655,9.0,1.0,6.152379963948623,True
2,200,200,0.7319487019843017,1.0,0.3,0.30000000000000004,,0.5316714379114632,0.4937779191964154,0.11077220699279525,0.0,0.0,0.20075509824389526,0.85,0.0,0.0,0.9912967985304155,0.9083545529548571,0.85,0.9974139074776223,0.7978795688436251,50,0.5316714379114632,0.5316714379114632,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.8033170211127034,3.8033170211127034,0.85,0.0,3.1398802993718666,9.0,1.0,5.196682978887297,True
2,200,200,0.6571386975925418,1.851213545114756,0.3,0.3,0.65,0.6499999999967656,0.4947194575838872,0.11173399688319069,0.6012246382526009,0.3215392239162865,0.1987356565958966,0.85,0.024609209341884177,1.8823662397050656,0.9913514992453036,0.9001907906123214,0.85,1.0003904002520838,0.9928385803935151,50,0.571955190015741,0.5719547476561258,True,True,0.65,,1.7912844546220021,2.196707090793235,-3.2344127376404685e-12,,"[1, 1, 1]",0.85,2.031384387633061,6.32114050822153,6.32114050822153,0.85,1.8823662397050656,5.628055820130567,9.0,1.0,2.6788594917784696,True
2,200,200,0.6462286202988434,0.833807230300973,0.3,0.30000000000000004,0.65,0.6499999999991983,0.11743142418680055,0.23580893993929614,0.6001199539931795,0.3229654025771407,-0.6388226602640394,0.85,0.02261102051827774,1.8974917873582084,0.9838680173570522,0.8942319213523657,0.85,0.997988135006975,1.0241798243676978,50,0.37281917073349097,0.3728163601558396,True,True,0.65,,0.7920164050192549,0.9712740198471168,-8.016920460818255e-13,,"[2, 1, 1]",0.85,2.031384387633061,2.79984330892703,2.79984330892703,0.85,1.8974917873582084,2.5416132097851807,9.0,1.0,6.20015669107297,True
3,50,50,0.7291515866357648,1.0,0.3,0.30000000000000004,,0.5334530122037108,0.5032414027598066,0.11079902568013257,0.0,0.0,0.20682656269562708,0.85,0.0,0.0,0.9973419595759643,0.8795483206532133,0.85,1.00003280783924,0.8061239280161812,50,0.5334530122037108,0.5334530122037108,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.7887827834178136,3.7887827834178136,0.85,0.0,3.0492245464004064,9.0,1.0,5.211217216582186,True
3,50,50,0.6526320199742444,2.13572742360751,0.3,0.3,0.65,0.6499999999994677,0.49607582758293517,0.11312248032244834,0.5945020247034898,0.32154439347554464,0.19482839300202565,0.85,0.02321461603784677,1.846412076824516,0.995084525154941,0.8871921069152334,0.85,0.9968607460065496,1.0030462397895044,50,0.564610367460564,0.5645505670367224,True,True,0.65,,1.7912844546220021,2.196707090793235,-5.323519403077626e-13,,"[1, 1, 1]",0.85,2.031384387633061,7.242626410513865,7.242626410513865,0.85,1.846412076824516,6.331122865408759,9.0,1.0,1.7573735894861349,True
