dgp,n,t,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,kappa_f_b,theoretical_factor_b_lower,theoretical_factor_b_upper,mean_b,sd_b,min_b,max_b,theoretical_coefficient_envelope,B_G1_fixed_time_true,B_G2_fixed_time_true,B_G2_minus_G1_fixed_time_true,B_G1_time_average_true,B_G2_time_average_true,B_G2_minus_G1_time_average_true
3,100,100,0.6601847141017432,2.1831489978549845,0.3,0.30000000000000004,0.65,0.6499999999999996,0.15,0.15000000000000008,1.0499999999999998,0.594448479197783,0.29012163152914616,0.0713919669615762,1.6312746143486083,7.489118862004149,,,,,,
3,100,100,0.6601847141017432,2.212904706223632,0.3,0.30000000000000004,0.65,0.6499999999999996,0.2,0.0,1.2,0.5931499454306194,0.32332962651758773,0.032283927165835204,1.8367285337003258,7.591193451056425,,,,,,
3,200,200,0.6471474045014252,2.2536684151138444,0.3,0.30000000000000004,0.65,0.6499999999994379,0.15,0.15000000000000008,1.0499999999999998,0.5976475396872587,0.2878015589611216,0.06992655820316748,1.684901079172922,7.578357939426614,,,,,,
3,200,200,0.6471474045014252,2.28022670430025,0.3,0.30000000000000004,0.65,0.6500000000036354,0.2,0.0,1.2,0.5964663339838476,0.3205264870304557,0.030910360507912224,1.9086673629789115,7.66766487578141,,,,,,
4,50,50,0.6633625520572716,2.025228577275728,0.3,0.30000000000000004,0.65,0.65,0.15,0.15000000000000008,1.0499999999999998,0.5922750208915946,0.24425175372531072,0.09348497334881138,1.5903337146006176,6.9808270778498365,0.46775126899887576,0.7020467489595361,0.2342954799606605,0.4826207926156964,0.7228275086480676,0.24020671603237115
4,50,50,0.6633625520572716,2.0441339481258343,0.3,0.30000000000000004,0.65,0.6500000000000001,0.2,0.0,1.2,0.5912189483728113,0.27853831109323973,0.05017255181607487,1.7991036485200438,7.04599262322484,0.49929683809479836,0.7594155043576708,0.26011866626287256,0.4795376197285076,0.7309657606144448,0.2514281408859372
4,100,100,0.6591443182258843,1.9275669298289324,0.3,0.3,0.65,0.65,0.15,0.15000000000000008,1.0499999999999998,0.6021998286886131,0.25233517729766614,0.07411112336986053,1.6373705846779034,6.601944387660202,0.4659418768203168,0.6976684434857652,0.23172656666544833,0.4835210002012706,0.7230310407428105,0.23951004054153993
4,100,100,0.6591443182258843,1.9516331229874957,0.3,0.3,0.65,0.6499999999999999,0.2,0.0,1.2,0.6021316085694602,0.2890393123279106,0.025344467105751802,1.858690074225688,6.684371444483399,0.49997339489292963,0.7582886601038211,0.25831526521089165,0.4834639027254306,0.7325682124326778,0.24910430970724728
4,200,200,0.6581443849452747,1.9962488992323744,0.3,0.3,0.65,0.65,0.15,0.15000000000000008,1.0499999999999998,0.5990768390214475,0.24610649291757308,0.08121940167056542,1.611545335686011,6.826808996696559,0.4904191582696966,0.7290792732048349,0.2386601149351382,0.4845135022659791,0.7200059684988392,0.23549246623286
4,200,200,0.6581443849452747,2.0222734986694397,0.3,0.3,0.65,0.6500000000000001,0.2,0.0,1.2,0.5983127016178138,0.28238063652934964,0.03442866787474912,1.8225657591355153,6.9158084043559445,0.4762064938461883,0.7214613291387364,0.24525483529254835,0.4818832537332496,0.7285735453725414,0.24669029163929182
