frozen_calibration_file,frozen_calibration_hash,design,dgp,N,T,true_rank_vector,c_h,c_xi,r2_scale_identified,intended_r2,calibrated_r2,pi_H,C_A,C_beta,C_H,C_Theta,B,c_B,activated
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,200,200,"[2, 1, 1]",0.6546536707079772,0.8759634375012857,True,0.65,0.649999999991421,0.30000000000000004,0.85,2.031384387633061,2.979747531274721,2.979747531274721,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,3,200,200,"[1, 1, 1]",0.6546536707079772,2.341718998174185,True,0.65,0.6499999999999999,0.30000000000000004,0.85,2.031384387633061,7.9657792837254116,7.9657792837254116,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,3,400,400,"[1, 1, 1]",0.6546536707079772,2.2082572663416933,True,0.65,0.6499999999994963,0.30000000000000004,0.85,2.031384387633061,7.511785145474714,7.511785145474714,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,50,50,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5339217468685004,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,50,50,"[1, 1, 1]",0.6546536707079772,2.148535475716313,True,0.65,0.6499999999998142,0.30000000000000004,0.85,2.031384387633061,7.308630709386709,7.308630709386709,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,50,50,"[2, 1, 1]",0.6546536707079772,0.8688084453015157,True,0.65,0.6499999999931909,0.30000000000000004,0.85,2.031384387633061,2.9554085355691804,2.9554085355691804,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,3,50,50,"[1, 1, 1]",0.6546536707079772,2.310923941089198,True,0.65,0.65,0.30000000000000004,0.85,2.031384387633061,7.861024346023666,7.861024346023666,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,100,100,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5265816679287206,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,100,100,"[1, 1, 1]",0.6546536707079772,2.036523619027648,True,0.65,0.65,0.30000000000000004,0.85,1.9596152422706632,6.927602187929662,6.927602187929662,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,100,100,"[2, 1, 1]",0.6546536707079772,0.8754529441613382,True,0.65,0.6499999999905752,0.30000000000000004,0.85,1.9596152422706632,2.9780109961588495,2.9780109961588495,10.0,1.0,True
