design,dgp,N,T,true_rank_vector,C_A,C_beta,C_H,C_Theta,B,c_B,distance_to_boundary_B,slack_relative_to_B_minus_c_B,condition_verified
baseline,3,50,50,"[1, 1, 1]",0.85,2.031384387633061,7.861024346023666,7.861024346023666,10.0,1.0,2.138975653976334,1.1389756539763338,True
rank_stress,4,100,100,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,4,100,100,"[1, 1, 1]",0.85,1.9596152422706632,6.927602187929662,6.927602187929662,10.0,1.0,3.0723978120703377,2.0723978120703377,True
rank_stress,4,100,100,"[2, 1, 1]",0.85,1.9596152422706632,2.9780109961588495,2.9780109961588495,10.0,1.0,7.021989003841151,6.021989003841151,True
baseline,4,100,100,"[1, 1, 1]",0.85,1.9596152422706632,6.567752090044973,6.567752090044973,10.0,1.0,3.432247909955027,2.432247909955027,True
rank_stress,4,200,200,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,4,200,200,"[1, 1, 1]",0.85,1.9596152422706632,6.909943570066841,6.909943570066841,10.0,1.0,3.090056429933159,2.090056429933159,True
rank_stress,4,200,200,"[2, 1, 1]",0.85,1.9596152422706632,2.9478164073953343,2.9478164073953343,10.0,1.0,7.052183592604665,6.052183592604665,True
baseline,4,200,200,"[1, 1, 1]",0.85,1.9596152422706632,6.813211607718897,6.813211607718897,10.0,1.0,3.1867883922811027,2.1867883922811027,True
baseline,4,400,400,"[1, 1, 1]",0.85,1.9596152422706632,6.746078166751292,6.746078166751292,10.0,1.0,3.2539218332487083,2.2539218332487083,True
rank_stress,4,50,50,"[1, 0, 2]",0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,6.205918673129354,5.205918673129354,True
rank_stress,4,50,50,"[1, 1, 1]",0.85,1.9596152422706632,8.410761115894578,8.410761115894578,10.0,1.0,1.5892388841054217,0.5892388841054217,True
rank_stress,4,50,50,"[2, 1, 1]",0.85,1.9596152422706632,2.939058264436711,2.939058264436711,10.0,1.0,7.060941735563289,6.060941735563289,True
baseline,4,50,50,"[1, 1, 1]",0.85,1.9596152422706632,6.802066843878312,6.802066843878312,10.0,1.0,3.197933156121688,2.197933156121688,True
