DGP,semantic_replication_id,method,split_type,split_index,effective_N,effective_T,requested_rank,realized_numerical_rank,objective,iterations,convergence,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,numerical_rank_loss,best_objective,second_best_objective,objective_stability_gap,objective_stability_pass,objective_stability_assessed,runtime_seconds,primary_numerical_cause,exact_invalidity_reason,A_sigma_1,A_sigma_r,A_sigma_r_over_sigma_1,A_rank_supported,B_sigma_1,B_sigma_r,B_sigma_r_over_sigma_1,B_rank_supported,H_sigma_1,H_sigma_r,H_sigma_r_over_sigma_1,H_rank_supported,full_coefficient_envelope,full_coefficient_envelope_ratio,full_stationarity_residual,full_sigma_r_over_sigma_1,full_objective_stability_gap,full_runtime_seconds
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.3228689347722367,12,True,False,5.488142783042348e-05,True,12.064929413399923,1.3405477125999914,True,18.48980597099196,18.48980597099196,1.0,False,,,,,False,0.01820150000276044,coefficient_bound_hit,coefficient_bound_hit,18.48980597099196,18.48980597099196,1.0,True,34.127498373070374,34.127498373070374,1.0,True,60.2358554441934,60.2358554441934,1.0,True,7.638836835363397,0.8487596483737108,2.2301192415310002e-05,1.0,1.0340254500415471e-06,0.026169000018853694
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.2962849041736033,10,True,False,3.851146190224635e-05,True,6.679050136472826,0.742116681830314,False,18.29408383700109,18.29408383700109,1.0,False,,,,,False,0.015899999998509884,valid,valid,18.29408383700109,18.29408383700109,1.0,True,28.533482541110647,28.533482541110647,1.0,True,49.68730963618252,49.68730963618252,1.0,True,7.638836835363397,0.8487596483737108,2.2301192415310002e-05,1.0,1.0340254500415471e-06,0.026169000018853694
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.8215183301762594,9,True,False,3.583606758273564e-05,True,8.640514692765436,0.9600571880850484,False,19.231476389273343,19.231476389273343,1.0,False,,,,,False,0.014561399992089719,valid,valid,19.231476389273343,19.231476389273343,1.0,True,36.81588320165167,36.81588320165167,1.0,True,67.78172161603405,67.78172161603405,1.0,True,8.211986626691152,0.9124429585212391,2.106761852292635e-05,1.0,2.1354487420763637e-06,0.02290569999604486
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.8078120179393051,22,True,False,5.512087037953089e-05,True,9.118002423197506,1.0131113803552785,True,18.645476554030612,18.645476554030612,1.0,False,,,,,False,0.034148600010666996,coefficient_bound_hit,coefficient_bound_hit,18.645476554030612,18.645476554030612,1.0,True,36.92057982763375,36.92057982763375,1.0,True,58.645485859073816,58.645485859073816,1.0,True,8.211986626691152,0.9124429585212391,2.106761852292635e-05,1.0,2.1354487420763637e-06,0.02290569999604486
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.9109430961848046,22,True,False,4.5596469364419186e-05,True,10.115964236152186,1.1239960262391318,True,19.596742647000216,19.596742647000216,1.0,False,,,,,False,0.03723529999842867,coefficient_bound_hit,coefficient_bound_hit,19.596742647000216,19.596742647000216,1.0,True,37.131134512315775,37.131134512315775,1.0,True,66.57802578747433,66.57802578747433,1.0,True,8.211986626691152,0.9124429585212391,2.106761852292635e-05,1.0,2.1354487420763637e-06,0.02290569999604486
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.6775529410237247,13,True,False,4.583175933992142e-05,True,9.057528872058489,1.0063920968953877,True,20.129805496966288,20.129805496966288,1.0,False,,,,,False,0.02046379999956116,coefficient_bound_hit,coefficient_bound_hit,20.129805496966288,20.129805496966288,1.0,True,36.78818944653408,36.78818944653408,1.0,True,66.35939706564162,66.35939706564162,1.0,True,8.211986626691152,0.9124429585212391,2.106761852292635e-05,1.0,2.1354487420763637e-06,0.02290569999604486
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.807174599532223,11,True,False,4.072785690108627e-05,True,6.631453540475451,0.736828171163939,False,19.85037914564226,19.85037914564226,1.0,False,,,,,False,0.017202499991981313,valid,valid,19.85037914564226,19.85037914564226,1.0,True,34.750379988340406,34.750379988340406,1.0,True,50.395368098617176,50.395368098617176,1.0,True,5.744233284316952,0.6382481427018836,3.374718784191826e-05,1.0,1.0844368307406741e-07,0.03829470000346191
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.8593790103282983,19,True,False,6.393469024218387e-05,True,8.292462349834542,0.9213847055371713,False,17.44387623215156,17.44387623215156,1.0,False,,,,,False,0.03026940001291223,valid,valid,17.44387623215156,17.44387623215156,1.0,True,35.5723936171018,35.5723936171018,1.0,True,50.039960435380316,50.039960435380316,1.0,True,5.744233284316952,0.6382481427018836,3.374718784191826e-05,1.0,1.0844368307406741e-07,0.03829470000346191
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.8625775345463822,11,True,False,5.044461103054868e-05,True,7.444079478418535,0.827119942046504,False,19.786464656108002,19.786464656108002,1.0,False,,,,,False,0.01719269997556694,valid,valid,19.786464656108002,19.786464656108002,1.0,True,35.110071400744694,35.110071400744694,1.0,True,58.788255652751424,58.788255652751424,1.0,True,5.744233284316952,0.6382481427018836,3.374718784191826e-05,1.0,1.0844368307406741e-07,0.03829470000346191
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.7567170724805268,27,True,False,7.4622001166698e-05,True,9.023180558767608,1.0025756176408454,True,16.35848753794597,16.35848753794597,1.0,False,,,,,False,0.042856299987761304,coefficient_bound_hit,coefficient_bound_hit,16.35848753794597,16.35848753794597,1.0,True,40.30176415020299,40.30176415020299,1.0,True,54.12878574488719,54.12878574488719,1.0,True,5.744233284316952,0.6382481427018836,3.374718784191826e-05,1.0,1.0844368307406741e-07,0.03829470000346191
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.6392516814535156,29,True,False,5.8782234220048915e-05,True,11.685910292052153,1.2984344768946836,True,18.91900615811967,18.91900615811967,1.0,False,,,,,False,0.042626300011761487,coefficient_bound_hit,coefficient_bound_hit,18.91900615811967,18.91900615811967,1.0,True,41.092796598826915,41.092796598826915,1.0,True,72.90565109702126,72.90565109702126,1.0,True,8.720966201858628,0.9689962446509587,3.6065093110073946e-05,1.0,1.3333297395455396e-07,0.02790439999080263
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.7694261419067807,17,True,False,7.654096576717756e-05,True,9.351975174634418,1.0391083527371576,True,16.883991297459723,16.883991297459723,1.0,False,,,,,False,0.02572510001482442,coefficient_bound_hit,coefficient_bound_hit,16.883991297459723,16.883991297459723,1.0,True,35.325407427764844,35.325407427764844,1.0,True,76.88001208607251,76.88001208607251,1.0,True,8.720966201858628,0.9689962446509587,3.6065093110073946e-05,1.0,1.3333297395455396e-07,0.02790439999080263
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.7899600594673764,21,True,False,5.2563336057771845e-05,True,11.916005642016035,1.3240006268906706,True,17.52723980558443,17.52723980558443,1.0,False,,,,,False,0.04003870001179166,coefficient_bound_hit,coefficient_bound_hit,17.52723980558443,17.52723980558443,1.0,True,38.631965524383546,38.631965524383546,1.0,True,81.2929665877648,81.2929665877648,1.0,True,8.720966201858628,0.9689962446509587,3.6065093110073946e-05,1.0,1.3333297395455396e-07,0.02790439999080263
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.6252301183758804,18,True,False,4.547251994926956e-05,True,8.247990674353337,0.916443408261482,False,17.296292778650646,17.296292778650646,1.0,False,,,,,False,0.030741100024897605,valid,valid,17.296292778650646,17.296292778650646,1.0,True,36.41286231745699,36.41286231745699,1.0,True,69.81617817959946,69.81617817959946,1.0,True,8.720966201858628,0.9689962446509587,3.6065093110073946e-05,1.0,1.3333297395455396e-07,0.02790439999080263
4,dgp4_N50_T50_r00003_truth1-1-1,fixed_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.6493211030598716,18,True,False,5.6972898446929e-05,True,7.640890582889746,0.8489878425433051,False,19.38792775410258,19.38792775410258,1.0,False,,,,,False,0.026404000003822148,valid,valid,19.38792775410258,19.38792775410258,1.0,True,27.85430502247958,27.85430502247958,1.0,True,61.54587747532096,61.54587747532096,1.0,True,7.604174076262719,0.8449082306958577,3.516179926153263e-05,1.0,3.2440647441646425e-06,0.020284300000639632
4,dgp4_N50_T50_r00003_truth1-1-1,fixed_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.4600864198911443,18,True,False,5.190826316390806e-05,True,7.424818732841062,0.8249798592045624,False,17.27698626841414,17.27698626841414,1.0,False,,,,,False,0.027083099994342774,valid,valid,17.27698626841414,17.27698626841414,1.0,True,35.92575817965193,35.92575817965193,1.0,True,65.26691867137882,65.26691867137882,1.0,True,7.604174076262719,0.8449082306958577,3.516179926153263e-05,1.0,3.2440647441646425e-06,0.020284300000639632
4,dgp4_N50_T50_r00003_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.5648642326019744,24,True,False,4.1815052120912104e-05,True,9.063444891330015,1.0070494323700017,True,19.959514033612745,19.959514033612745,1.0,False,,,,,False,0.03601760001038201,coefficient_bound_hit,coefficient_bound_hit,19.959514033612745,19.959514033612745,1.0,True,32.59433206601984,32.59433206601984,1.0,True,67.3806531203963,67.3806531203963,1.0,True,7.604174076262719,0.8449082306958577,3.516179926153263e-05,1.0,3.2440647441646425e-06,0.020284300000639632
