DGP,semantic_replication_id,method,split_type,split_index,effective_N,effective_T,coefficient_envelope,full_coefficient_envelope,stationarity_residual,full_stationarity_residual,sigma_r_over_sigma_1,full_sigma_r_over_sigma_1,objective_stability_gap,full_objective_stability_gap,runtime_seconds,full_runtime_seconds,primary_numerical_cause
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,unit,0,26,50,12.064929413399923,7.638836835363397,5.488142783042348e-05,2.2301192415310002e-05,1.0,1.0,,1.0340254500415471e-06,0.01820150000276044,0.026169000018853694,coefficient_bound_hit
2,dgp2_N50_T50_r00004_truth1-1-1,fixed_rank,unit,1,24,50,6.679050136472826,7.638836835363397,3.851146190224635e-05,2.2301192415310002e-05,1.0,1.0,,1.0340254500415471e-06,0.015899999998509884,0.026169000018853694,valid
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,time,0,50,25,8.640514692765436,8.211986626691152,3.583606758273564e-05,2.106761852292635e-05,1.0,1.0,,2.1354487420763637e-06,0.014561399992089719,0.02290569999604486,valid
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,time,1,50,25,9.118002423197506,8.211986626691152,5.512087037953089e-05,2.106761852292635e-05,1.0,1.0,,2.1354487420763637e-06,0.034148600010666996,0.02290569999604486,coefficient_bound_hit
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,unit,0,26,50,10.115964236152186,8.211986626691152,4.5596469364419186e-05,2.106761852292635e-05,1.0,1.0,,2.1354487420763637e-06,0.03723529999842867,0.02290569999604486,coefficient_bound_hit
3,dgp3_N50_T50_r00003_truth1-1-1,fixed_rank,unit,1,24,50,9.057528872058489,8.211986626691152,4.583175933992142e-05,2.106761852292635e-05,1.0,1.0,,2.1354487420763637e-06,0.02046379999956116,0.02290569999604486,coefficient_bound_hit
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,time,0,50,25,6.631453540475451,5.744233284316952,4.072785690108627e-05,3.374718784191826e-05,1.0,1.0,,1.0844368307406741e-07,0.017202499991981313,0.03829470000346191,valid
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,time,1,50,25,8.292462349834542,5.744233284316952,6.393469024218387e-05,3.374718784191826e-05,1.0,1.0,,1.0844368307406741e-07,0.03026940001291223,0.03829470000346191,valid
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,unit,0,26,50,7.444079478418535,5.744233284316952,5.044461103054868e-05,3.374718784191826e-05,1.0,1.0,,1.0844368307406741e-07,0.01719269997556694,0.03829470000346191,valid
3,dgp3_N50_T50_r00004_truth1-1-1,fixed_rank,unit,1,24,50,9.023180558767608,5.744233284316952,7.4622001166698e-05,3.374718784191826e-05,1.0,1.0,,1.0844368307406741e-07,0.042856299987761304,0.03829470000346191,coefficient_bound_hit
