dgp,N,method,fit_role,fits_attempted,convergence_rate,unconstrained_inside_box_rate,constrained_fallback_rate,boundary_active_rate,constrained_solver_failure_rate,constrained_KKT_failure_rate,numerical_rank_loss_rate,median_iterations,p90_iterations,median_runtime_seconds,p90_runtime_seconds,maximum_runtime_seconds,median_max_abs_coefficient,p90_max_abs_coefficient
2,50,fixed_rank,time_half_split,6,1.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,28.5,38.5,0.04279365000547841,1.7048756499862066,3.3356539999949746,5.807805169253685,8.090491990350124
2,50,fixed_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,58.0,0.06558000000950415,0.1935352000000421,0.26992769999196753,8.730848215845633,9.036781691880421
2,50,selected_rank,candidate_post_refit,179,0.9329608938547486,0.5754189944134078,0.4245810055865922,0.4134078212290503,0.0,0.0446927374301676,0.0,59.0,164.00000000000009,0.6727441999828443,33.75242956000732,90.83165509998798,8.750756030610981,10.0
2,50,selected_rank,cap_pilot,449,0.9198218262806236,0.5189309576837416,0.48106904231625836,0.46770601336302897,0.0,0.053452115812917596,0.0,63.0,178.0,1.4045354999834672,37.396370659978125,91.27006489998894,9.306377671767638,10.000000000000002
2,50,selected_rank,full_panel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0010285000025760382,0.0013848199916537852,0.0014738999889232218,0.0,0.0
2,50,selected_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0008996499964268878,0.001556000002892688,0.0016690999909769744,0.0,0.0
2,50,selected_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0009126500081038103,0.0014612499944632873,0.0015659999917261302,0.0,0.0
2,100,fixed_rank,full_panel,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,14.2,0.04795259999809787,0.05445565998088569,0.05832429998554289,5.809722203319961,6.140366906605328
2,100,fixed_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.5,11.0,0.028549150010803714,0.030766800002311356,0.030901299993274733,5.769995923540174,6.593378089533509
2,100,fixed_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.031029849997139536,0.036781349990633316,0.038956499978667125,5.402132351306955,6.903682354198169
2,100,selected_rank,candidate_post_refit,197,0.9086294416243654,0.766497461928934,0.233502538071066,0.22842639593908629,0.0,0.02030456852791878,0.0,62.0,198.8,1.202656300010858,52.35767891998988,215.8379235000175,6.628343469479583,10.0
2,100,selected_rank,cap_pilot,394,0.916243654822335,0.8197969543147208,0.1802030456852792,0.17766497461928935,0.0,0.015228426395939087,0.0,56.0,198.0,0.9895982000016375,26.991438859992193,226.94404179998673,6.539943639029987,10.0
2,100,selected_rank,full_panel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0018985000206157565,0.002219859999604523,0.002300199994351715,0.0,0.0
2,100,selected_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0014631499943789095,0.0018154000135837123,0.0019212000188417733,0.0,0.0
2,100,selected_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0013837000005878508,0.0018000999989453703,0.0018484999891370535,0.0,0.0
3,50,fixed_rank,full_panel,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,56.800000000000004,0.06047574999684002,0.09280028998618946,0.10560799998347647,6.406906120645454,7.206522305172981
3,50,fixed_rank,time_half_split,2,1.0,0.5,0.5,0.5,0.0,0.0,0.0,54.5,69.3,0.9525893999962136,1.5676296399906278,1.7213896999892313,8.142008453332643,9.628401690666529
3,50,fixed_rank,unit_half_split,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,125.5,0.46376655000494793,0.6587862700107507,0.7075412000122014,8.34754657836268,9.669087491578193
3,50,selected_rank,candidate_post_refit,212,0.9292452830188679,0.5094339622641509,0.49056603773584906,0.4858490566037736,0.0,0.05660377358490566,0.0,71.5,185.1000000000001,1.4167870500095887,62.9788803899923,113.22308379999595,9.875702456627959,10.000000000000002
3,50,selected_rank,cap_pilot,334,0.9341317365269461,0.47904191616766467,0.5209580838323353,0.5179640718562875,0.0,0.041916167664670656,0.0,61.0,159.39999999999998,3.3230363500042586,46.27134488999436,110.99931070001912,10.0,10.000000000000002
3,50,selected_rank,full_panel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0010492000146768987,0.0011926400125958025,0.0012285000120755285,0.0,0.0
3,50,selected_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0009324499842477962,0.0015037500124890357,0.0016618000227026641,0.0,0.0
3,50,selected_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0009231000003637746,0.013564449996920303,0.025494800007436424,0.0,0.0
3,100,fixed_rank,full_panel,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,0.05668430001242086,0.0647473199875094,0.06712700001662597,6.512051627381695,6.770772822303361
3,100,fixed_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.5,14.5,0.0399932999862358,0.04736185001092963,0.04908550000982359,6.483811123429023,7.589138675831561
