dgp,N,method,target,attempted,target_support_rate,gram_min_eigenvalue_min,gram_max_eigenvalue_max,condition_number_max,riesz_residual_max,riesz_convergence_rate,target_rayleigh_min,invalid_variance_count,nonfinite_SE_count
1,50,selected_rank,A_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,A_G2_time_average,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,A_entry,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,A_fixed_time_mean,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,A_full_mean,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_G1_fixed_time,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_G1_time_average,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_G2_fixed_time,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_G2_time_average,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_entry,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_fixed_time_mean,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,B_full_mean,3,0.0,,,,,0.0,,3,3
1,100,fixed_rank,A_G1_fixed_time,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.556937584728984e-09,1.0,0.9317317106079699,0,0
1,100,fixed_rank,A_G1_time_average,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.516079623126606e-09,1.0,1.3256430808224238,0,0
1,100,fixed_rank,A_G2_fixed_time,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.793358867052135e-09,1.0,0.9167756715913689,0,0
1,100,fixed_rank,A_G2_minus_G1_time_average,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.728939378736672e-09,1.0,2.5258519612111865,0,0
1,100,fixed_rank,A_G2_time_average,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.748730476716456e-09,1.0,1.1243225891044797,0,0
1,100,fixed_rank,A_entry,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.865068391019905e-09,1.0,1.5370077059239804,0,0
1,100,fixed_rank,A_fixed_time_mean,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.568332615462355e-09,1.0,0.9105540540590794,0,0
1,100,fixed_rank,A_full_mean,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.653238666891913e-09,1.0,0.9158259065718725,0,0
1,100,fixed_rank,B_G1_fixed_time,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.076925490124764e-09,1.0,0.7865012284251346,0,0
1,100,fixed_rank,B_G1_time_average,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.724918454033696e-09,1.0,0.7650762492911929,0,0
1,100,fixed_rank,B_G2_fixed_time,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.457546248085485e-09,1.0,0.7792824915473627,0,0
1,100,fixed_rank,B_G2_minus_G1_time_average,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,8.837010260362696e-09,1.0,0.7854079218000539,0,0
1,100,fixed_rank,B_G2_time_average,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.680795155362245e-09,1.0,0.7793185730031617,0,0
1,100,fixed_rank,B_entry,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.44217827503641e-09,1.0,0.6804377427359387,0,0
1,100,fixed_rank,B_fixed_time_mean,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.683767978545337e-09,1.0,0.7818918842756775,0,0
1,100,fixed_rank,B_full_mean,3,1.0,0.18034788889596762,54.19224097921007,300.4872488996557,9.951142337591142e-09,1.0,0.7612059605028417,0,0
1,100,selected_rank,A_G1_fixed_time,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,A_G1_time_average,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,A_G2_fixed_time,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,A_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,A_G2_time_average,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,A_entry,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,A_fixed_time_mean,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,A_full_mean,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_G1_fixed_time,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_G1_time_average,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_G2_fixed_time,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_G2_time_average,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_entry,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_fixed_time_mean,3,0.0,,,,,0.0,,3,3
1,100,selected_rank,B_full_mean,3,0.0,,,,,0.0,,3,3
2,50,fixed_rank,A_G1_fixed_time,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.61343916163612e-09,1.0,1.141665599682785,0,0
2,50,fixed_rank,A_G1_time_average,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.142687014064778e-09,1.0,0.7959430326451834,0,0
2,50,fixed_rank,A_G2_fixed_time,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,8.26837170329229e-09,1.0,1.1429363537554862,0,0
2,50,fixed_rank,A_G2_minus_G1_time_average,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,8.851168014361556e-09,1.0,2.653105953635392,0,0
2,50,fixed_rank,A_G2_time_average,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.231061762745023e-09,1.0,0.7618946013398317,0,0
2,50,fixed_rank,A_entry,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.661128362555182e-09,1.0,1.15066900031677,0,0
2,50,fixed_rank,A_fixed_time_mean,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.628473351845941e-09,1.0,1.1417193057181172,0,0
2,50,fixed_rank,A_full_mean,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.908105699277326e-09,1.0,0.5554045867896074,0,0
2,50,fixed_rank,B_G1_fixed_time,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.712258568638108e-09,1.0,0.8962030215240816,0,0
2,50,fixed_rank,B_G1_time_average,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.722926766804311e-09,1.0,0.6359998784894839,0,0
2,50,fixed_rank,B_G2_fixed_time,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.710522502354585e-09,1.0,0.9000347862928403,0,0
2,50,fixed_rank,B_G2_minus_G1_time_average,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.850033965754794e-09,1.0,0.7807076377702933,0,0
2,50,fixed_rank,B_G2_time_average,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.436217507487775e-09,1.0,0.7183722880247387,0,0
2,50,fixed_rank,B_entry,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,8.808374824621338e-09,1.0,0.5558215018900821,0,0
