semantic_replication_id,dgp_realization_hash,dgp,N,T,replication,rank_vector,numerical_objective,Q_hat,log_Q_hat,d_r,kappa_NT,penalty_contribution,final_IC,ic_identity_error,valid,selected_rank,true_rank,sources,converged,stationarity_residual,max_envelope_ratio,objective_stability_pass,third_start_used
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[2, 1, 3]",1.4899054416463342,2.9798108832926684,1.0918598365211902,1186,2833483.8838854465,336051.18862881395,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 3)""]",True,9.415081274554327e-05,1.0000000000000002,False,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[2, 2, 3]",1.413362297044697,2.826724594089394,1.039118654117722,1383,2833483.8838854465,391870.82114135724,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)""]",True,4.8567455454849505e-05,1.0,False,True
dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,1,100,100,2026080901,"[2, 3, 3]",1.3451805854568781,2.6903611709137563,0.9896754488813128,1578,2833483.8838854465,447123.75687712344,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 3, 3)""]",False,0.0001576922671419445,1.0000000000000002,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 0, 0]",5.171033569250295,10.34206713850059,2.3362197657824484,0,2833483.8838854465,0.0,2.3362197657824484,0.0,True,True,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 0)"", ""nuclear_path_0"", ""nuclear_path_1""]",True,0.0,0.0,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 0, 0]",2.6354215982294207,5.270843196458841,1.662190349082797,199,2833483.8838854465,56386.32928932038,56387.991479669465,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(0, 0, 0)"", ""nuclear_path_2"", ""nuclear_path_3"", ""nuclear_path_4""]",True,9.811601022495891e-08,0.13228170078961873,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 0, 1]",3.4859098721251414,6.971819744250283,1.9418762730852064,199,2833483.8838854465,56386.32928932038,56388.27116559347,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(0, 0, 0)""]",True,1.912977323256014e-07,0.981281297819136,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 1, 0]",4.131943482388069,8.263886964776137,2.1118950536957355,199,2833483.8838854465,56386.32928932038,56388.44118437408,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(0, 0, 0)""]",True,3.182860652987188e-07,0.500833299427653,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 0, 1]",2.0894091514562585,4.178818302912517,1.4300285039162293,398,2833483.8838854465,112772.65857864077,112774.08860714469,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 0)"", ""neighbor_of_(1, 1, 1)""]",True,3.292948839423281e-07,0.6438177807278627,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 1, 0]",2.250253674444508,4.500507348889016,1.504190134618684,398,2833483.8838854465,112772.65857864077,112774.16276877538,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 0)"", ""neighbor_of_(1, 1, 1)""]",True,2.6237373591671907e-07,0.24707727840067747,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 1, 1]",2.4441722474570042,4.8883444949140085,1.5868536970687577,398,2833483.8838854465,112772.65857864077,112774.24543233783,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 1)""]",True,1.6421123500739205e-07,0.9059913059567775,True,False
