dgp,N,method,target,true_value_mean,mean_estimate,bias,RMSE,MC_SD,mean_SE,coverage,mean_interval_length,point_retained,inference_retained,attempted
2,50,selected_rank,A_G1_fixed_time,0.4215845011736879,0.0,-0.4215845011736879,0.43749260346821534,0.0,,,,3,0,3
2,50,selected_rank,A_G1_time_average,0.4874242579657268,0.0,-0.4874242579657268,0.48768916933994033,0.0,,,,3,0,3
2,50,selected_rank,A_G2_fixed_time,0.43121825647165135,0.0,-0.43121825647165135,0.4469180597512909,0.0,,,,3,0,3
2,50,selected_rank,A_G2_minus_G1_fixed_time,0.00963375529796343,0.0,-0.00963375529796343,0.010240474776546809,0.0,,,,3,0,3
2,50,selected_rank,A_G2_minus_G1_time_average,0.012014773188648256,0.0,-0.012014773188648256,0.013508920236068634,0.0,,,,3,0,3
2,50,selected_rank,A_G2_time_average,0.49943903115437505,0.0,-0.49943903115437505,0.49985754221805623,0.0,,,,3,0,3
2,50,selected_rank,A_entry,0.39890992095695926,0.0,-0.39890992095695926,0.4129599253122788,0.0,,,,3,0,3
2,50,selected_rank,A_fixed_time_mean,0.42640137882266965,0.0,-0.42640137882266965,0.4422008008582928,0.0,,,,3,0,3
2,50,selected_rank,A_full_mean,0.493431644560051,0.0,-0.493431644560051,0.49376464177823864,0.0,,,,3,0,3
2,50,selected_rank,B_G1_fixed_time,0.4986666308630358,0.0,-0.4986666308630358,0.5027815472743629,0.0,,,,3,0,3
2,50,selected_rank,B_G1_time_average,0.6245860128483901,0.0,-0.6245860128483901,0.6272845226508595,0.0,,,,3,0,3
2,50,selected_rank,B_G2_fixed_time,0.4908966087700697,0.0,-0.4908966087700697,0.4911564572343843,0.0,,,,3,0,3
2,50,selected_rank,B_G2_minus_G1_fixed_time,-0.007770022092966137,0.0,0.007770022092966137,0.057896503002581506,0.0,,,,3,0,3
2,50,selected_rank,B_G2_minus_G1_time_average,-0.0057118839821901635,0.0,0.0057118839821901635,0.06854276970141156,0.0,,,,3,0,3
2,50,selected_rank,B_G2_time_average,0.6188741288662,0.0,-0.6188741288662,0.6211963738215281,0.0,,,,3,0,3
2,50,selected_rank,B_entry,0.35719750888381524,0.0,-0.35719750888381524,0.3779288744938834,0.0,,,,3,0,3
2,50,selected_rank,B_fixed_time_mean,0.4947816198165527,0.0,-0.4947816198165527,0.4961592220410047,0.0,,,,3,0,3
2,50,selected_rank,B_full_mean,0.621730070857295,0.0,-0.621730070857295,0.6233064060184053,0.0,,,,3,0,3
2,100,fixed_rank,A_G1_fixed_time,0.49831137924336494,0.43807480043843877,-0.060236578804926166,0.13899058150908902,0.13298103129329356,0.07956793997438404,0.6666666666666666,0.3119005933476751,3,3,3
2,100,fixed_rank,A_G1_time_average,0.5070187090919394,0.48710278676664487,-0.01991592232529447,0.021160189712842763,0.04680071612659131,0.013381550049210702,0.6666666666666666,0.052454712307546315,3,3,3
2,100,fixed_rank,A_G2_fixed_time,0.49213922374967495,0.4462587617003206,-0.045880462049354385,0.142606000329766,0.16197167322292444,0.08015554416654587,0.6666666666666666,0.31420395945527907,3,3,3
2,100,fixed_rank,A_G2_minus_G1_fixed_time,-0.006172155493689991,0.008183961261881796,0.014356116755571788,0.018196790862693598,0.029330800302835216,0.01222499597452408,1.0,0.047921103642428665,3,3,3
