record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,dgp_realization_hash,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[13, 13, 34]",warm_nuclear_path,21,0.33086954601744356,0.32999846220684864,0.0008710838105949192,500,False,True,,,6.762902187996692,0.7514335764440769,False,,,,,,,,3.4049482999835163,,,20.0,0.0005317616347480743,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[13, 13, 35]",warm_nuclear_path,22,0.26679572385369826,0.2662277173349057,0.0005680065187925742,500,False,True,,,6.889845186444875,0.7655383540494305,False,,,,,,,,3.3809303999878466,,,21.0,0.0004254093077984594,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[0, 0, 0]","[0, 0, 0]",nuclear_path,1,4.449454382204485,4.449454382204485,0.0,1,True,False,0.0,True,0.0,0.0,False,,,,,,0.0,True,0.0011860999802593142,,,,,,start,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:initial_rank_(0, 0, 0):start_1",0.0,0.0,"[0.0, 0.0]"
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[0, 0, 0]","[0, 0, 0]",deterministic,2,4.449454382204485,4.449454382204485,0.0,1,True,False,0.0,True,0.0,0.0,False,,,,4.449454382204485,4.449454382204485,0.0,True,0.001018800016026944,,,,,,"baseline_local_completion|neighbor_of_(1, 0, 0)|nuclear_path_0|nuclear_path_1",2.1859286584802176,True,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:initial_rank_(0, 0, 0):start_2",0.0,0.0,"[0.0, 0.0]"
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[0, 0, 1]","[0, 0, 1]","cap_pilot_route_0:neighbor_rank_(0, 0, 1):start_1",3,4.448549995630115,3.318745022368471,0.2539715130484024,2,True,False,2.4927904619356436e-17,True,6.651429647305308,0.7390477385894787,False,75.1900711475928,75.1900711475928,1.0,,,,,0.01182020001579076,,,,,,,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:neighbor_rank_(0, 0, 1):start_1",0.002660571858922094,6.651429647305308,"[0.002660571858922094, 6.651429647305286, 6.651429647305308]"
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[0, 0, 1]","[0, 0, 1]",deterministic,4,4.449454381982695,3.318750518419477,0.25412191394563105,10,True,False,1.6233695969368225e-05,True,6.66537259856382,0.74059695539598,False,75.1898884087817,75.1898884087817,1.0,3.3187487572973446,3.318750518419477,5.306584684057355e-07,True,0.046521499985828996,,,,,,"baseline_local_completion|neighbor_of_(0, 0, 0)",2.026599964081495,True,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:neighbor_rank_(0, 0, 1):start_2",4.098595724291459e-08,6.66537259856382,"[4.098595724291459e-08, 3.8605989094678397, 5.69263243627531, 7.632244925240106, 7.59204797770388, 7.191990318372263, 6.925057805301353, 6.783938551338694, 6.714431982272386, 6.6811311829477145, 6.66537259856382]"
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[0, 1, 0]","[0, 1, 0]","cap_pilot_route_0:neighbor_rank_(0, 1, 0):start_1",5,4.447859629825225,3.630687420643899,0.18372257157167443,9,True,False,3.678666890027468e-05,True,4.578353412100045,0.5087059346777827,False,54.821340217043954,54.821340217043954,1.0,,,,,0.043146600015461445,,,,,,,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:neighbor_rank_(0, 1, 0):start_1",0.009118741491966282,4.578353412100045,"[0.009118741491966282, 6.167653292023606, 5.334465856856868, 4.965371712880888, 4.798807222719667, 4.71237081054475, 4.658974666019292, 4.622516073424146, 4.596716002170355, 4.578353412100045]"
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[0, 1, 0]","[0, 1, 0]",deterministic,6,4.449454383075147,3.630682057234201,0.1840163434319937,15,True,False,3.296727733582403e-05,True,4.574829961223305,0.5083144401359228,False,54.82724730202487,54.82724730202487,1.0,3.6306787684623103,3.630682057234201,9.058283865229153e-07,True,0.06816490000346676,,,,,,"baseline_local_completion|neighbor_of_(0, 0, 0)",2.116431751876153,True,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:neighbor_rank_(0, 1, 0):start_2",4.098595724291459e-08,4.574829961223305,"[4.098595724291459e-08, 3.436614026173613, 4.11314945091759, 4.869847156065326, 5.877882115973854, 5.827518676815686, 5.519815872484949, 5.2393012664481065, 5.0295231112094685, 4.881318999581238, 4.777482689681583, 4.7045803757535385, 4.653370542165364, 4.6174600500483995, 4.592345484103768, 4.574829961223305]"
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[1, 0, 0]","[1, 0, 0]","cap_pilot_route_0:neighbor_rank_(1, 0, 0):start_1",7,4.4306638776738705,2.4681590933375386,0.44293695900187774,4,True,False,2.5499094320067904e-05,True,1.416289913300453,0.15736554592227256,False,32.543000463788395,32.543000463788395,1.0,,,,,0.022199300001375377,,,,,,,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:neighbor_rank_(1, 0, 0):start_1",0.013022269390164098,1.416289913300453,"[0.013022269390164098, 1.3533672972961475, 1.3944070655447667, 1.4091372417175634, 1.416289913300453]"
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,coefficient_fit,,"[1, 0, 0]","[1, 0, 0]",nuclear_path,8,3.4182577091315776,2.468158594338188,0.27794835721580696,4,True,False,1.6914974959427814e-05,True,1.4169883407653119,0.15744314897392353,False,32.542382537651406,32.542382537651406,1.0,,,0.0,True,0.019976000010501593,,,,,,loss_improvement,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,"cap_pilot_route_0:neighbor_rank_(1, 0, 0):start_2",0.5306357321057866,1.4169883407653119,"[0.5306357321057866, 1.3716314557230027, 1.396625768300875, 1.412811114931512, 1.4169883407653119]"
