design,rank_stress,dgp,n,t,true_rank_vector,c_h,c_xi,intended_r2,achieved_r2,r2_scale_identified,pi_h,realized_calibration_h_share,population_var_u_tilde,population_var_h_raw,C_A,C_beta,C_H,C_Theta,calibration_seed,calibration_draws
rank_stress,True,3,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5339217468685004,False,0.30000000000000004,0.30058727990423617,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,3,100,100,"1,1,1",0.6546536707079772,2.2061769220223826,0.65,0.6500000000035006,True,0.30000000000000004,0.2983955010009898,1.0,1.0,0.85,1.7774613391789282,7.504708479275779,7.504708479275779,20260807,50
rank_stress,True,3,100,100,"2,1,1",0.6546536707079772,0.8726943523347386,0.65,0.6499999999910316,True,0.30000000000000004,0.2987202568609733,1.0,1.0,0.85,1.7774613391789282,2.968627148804955,2.968627148804955,20260807,50
rank_stress,True,3,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5322227606458266,False,0.30000000000000004,0.30223970499693575,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,3,200,200,"1,1,1",0.6546536707079772,2.2219075065583738,0.65,0.6499999999999944,True,0.30000000000000004,0.29644568737834487,1.0,1.0,0.85,1.7774613391789282,7.5582188981242355,7.5582188981242355,20260807,50
rank_stress,True,3,200,200,"2,1,1",0.6546536707079772,0.8599423011956112,0.65,0.6499999999951603,True,0.30000000000000004,0.2917529980629807,1.0,1.0,0.85,1.7774613391789282,2.9252487482076717,2.9252487482076717,20260807,50
rank_stress,True,3,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5351422818034989,False,0.30000000000000004,0.3003968348026257,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
baseline,False,4,50,50,"1,1,1",0.6546536707079772,1.981125385973407,0.65,0.6500000000000001,True,0.30000000000000004,0.2944790681661484,1.0,1.0,0.85,1.71466333698683,6.7391551122717654,6.7391551122717654,20260807,50
baseline,False,4,100,100,"1,1,1",0.6546536707079772,1.9069141690537679,0.65,0.65,True,0.30000000000000004,0.2971366880623206,1.0,1.0,0.85,1.71466333698683,6.486712280822122,6.486712280822122,20260807,50
baseline,False,4,200,200,"1,1,1",0.6546536707079772,1.9770828505996425,0.65,0.65,True,0.30000000000000004,0.2977712069302425,1.0,1.0,0.85,1.71466333698683,6.725403699502271,6.725403699502271,20260807,50
baseline,False,4,400,400,"1,1,1",0.6546536707079772,1.9512122585366316,0.65,0.65,True,0.30000000000000004,0.299165628431136,1.0,1.0,0.85,1.71466333698683,6.637400217242477,6.637400217242477,20260807,50
rank_stress,True,4,50,50,"1,1,1",0.6546536707079772,2.436662061551646,0.65,0.65,True,0.30000000000000004,0.31088182709460116,1.0,1.0,0.85,1.71466333698683,8.288745227963506,8.288745227963506,20260807,50
rank_stress,True,4,50,50,"2,1,1",0.6546536707079772,0.850942551227217,0.65,0.6499999999972249,True,0.30000000000000004,0.29273063380723147,1.0,1.0,0.85,1.71466333698683,2.8946344764215013,2.8946344764215013,20260807,50
rank_stress,True,4,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5365897328913953,False,0.30000000000000004,0.3079694918234418,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,4,100,100,"1,1,1",0.6546536707079772,2.0062526677634063,0.65,0.65,True,0.30000000000000004,0.3006542793513484,1.0,1.0,0.85,1.71466333698683,6.8246300906509685,6.8246300906509685,20260807,50
rank_stress,True,4,100,100,"2,1,1",0.6546536707079772,0.8572910716014376,0.65,0.6499999999952658,True,0.30000000000000004,0.29661770223580813,1.0,1.0,0.85,1.71466333698683,2.9162301128401773,2.9162301128401773,20260807,50
rank_stress,True,4,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5265816679287206,False,0.30000000000000004,0.30053751454452843,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,4,200,200,"1,1,1",0.6546536707079772,2.003037575694791,0.65,0.65,True,0.30000000000000004,0.3009350460368941,1.0,1.0,0.85,1.71466333698683,6.813693375436455,6.813693375436455,20260807,50
rank_stress,True,4,200,200,"2,1,1",0.6546536707079772,0.8502963674518154,0.65,0.6499999999969691,True,0.30000000000000004,0.29633132923360966,1.0,1.0,0.85,1.71466333698683,2.89243636583027,2.89243636583027,20260807,50
rank_stress,True,4,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5210906542635242,False,0.30000000000000004,0.3004190894739402,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
