semantic_replication_id,dgp,N,T,replication,true_rank_vector,total_starts,individually_valid_starts,interior_path_successes,constrained_path_successes,stationarity_or_kkt_failures,boundary_active_starts,objective_spread_all_starts,best_valid_pair_normalized_gap,objective_stability_pass,pilot_accepted,primary_status
dgp2_N200_T100_r00002_truth1-0-2,2,200,100,2,"(1,0,2)",3,1,1,0,2,1,0.0015028403039061278,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00000_truth1-1-1,2,200,100,0,"(1,1,1)",3,0,0,0,3,1,0.005138102820236634,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00001_truth1-1-1,2,200,100,1,"(1,1,1)",3,0,0,0,3,0,0.006516091506370447,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00002_truth1-1-1,2,200,100,2,"(1,1,1)",3,1,0,1,2,2,0.006419391339320013,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00000_truth2-1-1,2,200,100,0,"(2,1,1)",3,0,0,0,3,0,0.000944251444215588,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00001_truth2-1-1,2,200,100,1,"(2,1,1)",3,0,0,0,3,0,0.000413167588240948,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00002_truth2-1-1,2,200,100,2,"(2,1,1)",3,0,0,0,3,0,0.0012941464453173346,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00000_truth1-0-2,2,200,200,0,"(1,0,2)",3,0,0,0,3,0,0.00041807933180504353,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00001_truth1-0-2,2,200,200,1,"(1,0,2)",3,0,0,0,3,0,0.0003939991542808996,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00002_truth1-0-2,2,200,200,2,"(1,0,2)",3,0,0,0,3,0,0.0007520438440614674,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00000_truth1-1-1,2,200,200,0,"(1,1,1)",3,0,0,0,3,0,0.001929122062330757,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00001_truth1-1-1,2,200,200,1,"(1,1,1)",3,0,0,0,3,0,0.0035433123167916136,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00002_truth1-1-1,2,200,200,2,"(1,1,1)",3,0,0,0,3,0,0.002609696317845245,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00000_truth2-1-1,2,200,200,0,"(2,1,1)",3,1,1,0,2,0,0.0003878115222636924,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00001_truth2-1-1,2,200,200,1,"(2,1,1)",3,0,0,0,3,0,0.00010870995300843456,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00002_truth2-1-1,2,200,200,2,"(2,1,1)",3,0,0,0,3,0,0.0004958042861587519,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00000_truth1-0-2,3,50,50,0,"(1,0,2)",3,0,0,0,3,3,0.003172264828478183,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00001_truth1-0-2,3,50,50,1,"(1,0,2)",3,0,0,0,3,3,0.004515471715054259,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00002_truth1-0-2,3,50,50,2,"(1,0,2)",3,0,0,0,3,2,0.006290840717789875,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00000_truth1-1-1,3,50,50,0,"(1,1,1)",3,0,0,0,3,3,0.03078766790555776,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00001_truth1-1-1,3,50,50,1,"(1,1,1)",3,0,0,0,3,3,0.024783250261569356,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00002_truth1-1-1,3,50,50,2,"(1,1,1)",3,0,0,0,3,3,0.02224128208683851,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00000_truth2-1-1,3,50,50,0,"(2,1,1)",3,0,0,0,3,3,0.00404112257263281,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00001_truth2-1-1,3,50,50,1,"(2,1,1)",3,1,0,1,2,3,0.007384096044657187,,False,False,rank_selection_numerically_unresolved
dgp3_N50_T50_r00002_truth2-1-1,3,50,50,2,"(2,1,1)",3,0,0,0,3,1,0.0016926084144021775,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00000_truth1-0-2,3,100,100,0,"(1,0,2)",3,0,0,0,3,0,0.0010832585066568035,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00001_truth1-0-2,3,100,100,1,"(1,0,2)",3,0,0,0,3,0,0.0021111822365576516,,False,False,rank_selection_numerically_unresolved
