design,dgp,N,T,true_rank,c_H,c_xi,intended_pooled_R2,achieved_calibration_R2,r2_scale_identified,C_A,C_beta,C_H,C_Theta,calibration_seed,calibration_draws,status
rank_stress,1,50,50,"(1,1,1)",0.6546536707079772,1.8090720075161526,0.65,0.649999999999996,true,0.85,1.7774613391789282,6.153884531609286,6.153884531609286,20260807,50,candidate_not_activated
rank_stress,1,50,50,"(2,1,1)",0.6546536707079772,0.8212300739374924,0.65,0.649999999999872,true,0.85,1.7774613391789282,2.793562129036017,2.793562129036017,20260807,50,candidate_not_activated
rank_stress,1,50,50,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5344056654315995,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,1,100,100,"(1,1,1)",0.6546536707079772,1.7526169793083484,0.65,0.6499999999997361,true,0.85,1.7774613391789282,5.961842576741732,5.961842576741732,20260807,50,candidate_not_activated
rank_stress,1,100,100,"(2,1,1)",0.6546536707079772,0.8085955961638839,0.65,0.6499999999999929,true,0.85,1.7774613391789282,2.7505836754349784,2.7505836754349784,20260807,50,candidate_not_activated
rank_stress,1,100,100,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5393014964428011,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,1,200,200,"(1,1,1)",0.6546536707079772,1.9083834340271748,0.65,0.65,true,0.85,1.7774613391789282,6.491710250474584,6.491710250474584,20260807,50,candidate_not_activated
rank_stress,1,200,200,"(2,1,1)",0.6546536707079772,0.8140917067553658,0.65,0.6499999999999649,true,0.85,1.7774613391789282,2.7692796863247673,2.7692796863247673,20260807,50,candidate_not_activated
rank_stress,1,200,200,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5286137848435728,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,2,50,50,"(1,1,1)",0.6546536707079772,1.7489022922960076,0.65,0.6499999999996401,true,0.85,1.7774613391789282,5.949206399270609,5.949206399270609,20260807,50,candidate_not_activated
rank_stress,2,50,50,"(2,1,1)",0.6546536707079772,0.8107713464166585,0.65,0.6499999999999874,true,0.85,1.7774613391789282,2.7579848821141852,2.7579848821141852,20260807,50,candidate_not_activated
rank_stress,2,50,50,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5303490191087232,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,2,100,100,"(1,1,1)",0.6546536707079772,1.8239209605291775,0.65,0.6499999999998813,true,0.85,1.7774613391789282,6.204395921912046,6.204395921912046,20260807,50,candidate_not_activated
rank_stress,2,100,100,"(2,1,1)",0.6546536707079772,0.8206005923112569,0.65,0.6499999999998691,true,0.85,1.7774613391789282,2.7914208338158555,2.7914208338158555,20260807,50,candidate_not_activated
rank_stress,2,100,100,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5314418341578069,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,2,200,200,"(1,1,1)",0.6546536707079772,1.811561381201438,0.65,0.6499999999999918,true,0.85,1.7774613391789282,6.162352584927023,6.162352584927023,20260807,50,candidate_not_activated
rank_stress,2,200,200,"(2,1,1)",0.6546536707079772,0.8207030470717459,0.65,0.6499999999998519,true,0.85,1.7774613391789282,2.791769352151855,2.791769352151855,20260807,50,candidate_not_activated
rank_stress,2,200,200,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5308464938821446,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,3,50,50,"(1,1,1)",0.6546536707079772,2.120385538189203,0.65,0.6499999999985444,true,0.85,1.7774613391789282,7.212873622662619,7.212873622662619,20260807,50,candidate_not_activated
rank_stress,3,50,50,"(2,1,1)",0.6546536707079772,0.8543881983884781,0.65,0.64999999999639,true,0.85,1.7774613391789282,2.906355466342838,2.906355466342838,20260807,50,candidate_not_activated
rank_stress,3,50,50,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5339217468685004,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,3,100,100,"(1,1,1)",0.6546536707079772,2.2061769220223826,0.65,0.6500000000035006,true,0.85,1.7774613391789282,7.504708479275779,7.504708479275779,20260807,50,candidate_not_activated
rank_stress,3,100,100,"(2,1,1)",0.6546536707079772,0.8726943523347386,0.65,0.6499999999910316,true,0.85,1.7774613391789282,2.968627148804955,2.968627148804955,20260807,50,candidate_not_activated
rank_stress,3,100,100,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5322227606458266,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,3,200,200,"(1,1,1)",0.6546536707079772,2.2219075065583738,0.65,0.6499999999999944,true,0.85,1.7774613391789282,7.5582188981242355,7.5582188981242355,20260807,50,candidate_not_activated
rank_stress,3,200,200,"(2,1,1)",0.6546536707079772,0.8599423011956112,0.65,0.6499999999951603,true,0.85,1.7774613391789282,2.9252487482076717,2.9252487482076717,20260807,50,candidate_not_activated
