record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history,dgp_realization_hash
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00007_truth1-1-1,1,100,100,7,fixed_rank,time_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,4,1.5818819464723648,1.5232624632076948,0.03705680022165555,5,True,False,7.675692218976846e-06,True,8.618896359050868,0.957655151005652,False,37.12771880506601,37.12771880506601,1.0,,,,,0.016606799996225163,,,,,,,,,time_split_0,7.682950215039001,8.618896359050868,"[7.682950215039001, 8.730954536099711, 8.6769226470692, 8.64410721128258, 8.627436658740056, 8.618896359050868]",cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00007_truth1-1-1,1,100,100,7,fixed_rank,time_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,5,1.5464486609134758,1.4869123750587547,0.038498714738808976,5,True,False,1.2322615722040123e-05,True,6.796498399724672,0.7551664888582968,False,35.02649042960194,35.02649042960194,1.0,,,,,0.019274599995696917,,,,,,,,,time_split_1,6.577883292757216,6.796498399724672,"[6.577883292757216, 6.800078128347238, 6.793493333627911, 6.79244987381053, 6.794337020676183, 6.796498399724672]",cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00007_truth1-1-1,1,100,100,7,fixed_rank,unit_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,6,1.51823096824646,1.4599690835054635,0.03837484938690746,5,True,False,1.3479302237220146e-05,True,7.551159302237096,0.8390177002485663,False,36.55899705036998,36.55899705036998,1.0,,,,,0.020405699993716553,,,,,,,,,unit_split_0,7.609928863263689,7.551159302237096,"[7.609928863263689, 7.714833142244781, 7.652087022031006, 7.610355967329422, 7.576509938868659, 7.551159302237096]",cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00007_truth1-1-1,1,100,100,7,fixed_rank,unit_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,7,1.6100996391393805,1.5514948848564876,0.03639821589812785,5,True,False,1.4530310504311592e-05,True,7.364492075580976,0.8182768972867751,False,35.82358949685391,35.82358949685391,1.0,,,,,0.0220285999821499,,,,,,,,,unit_split_1,7.682950215038999,7.364492075580976,"[7.682950215038999, 7.596761266110183, 7.444599342303729, 7.389720546036473, 7.371048398184717, 7.364492075580976]",cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00008_truth1-1-1,1,100,100,8,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,5.322183111040964,1.5622390841024898,0.7064664910041151,9,True,False,5.684743290168154e-06,True,6.756511848894641,0.7507235387660712,False,53.018860470131294,53.018860470131294,1.0,,,,,0.03826199998729862,,,,,,,,,full_fixed_rank:original_start_1,0.08105523136533668,6.756511848894641,"[0.08105523136533668, 9.582894482034106, 6.520183916484206, 6.772273015931718, 6.836361070798692, 6.7997622948709155, 6.775132084184335, 6.763584096508362, 6.758585905612521, 6.756511848894641]",bc803be303e7ada8e4f9a608602fd36ed621d2250837a7d021638f3e0b28a5b3
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00008_truth1-1-1,1,100,100,8,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,5.32140080174952,1.562238520373576,0.7064234440187331,8,True,False,4.665895898223006e-06,True,6.755048906427488,0.7505609896030543,False,53.02549103978315,53.02549103978315,1.0,,,,,0.03528999999980442,,,,,,,,,full_fixed_rank:original_start_2,0.06544610460925916,6.755048906427488,"[0.06544610460925916, 5.2741419174162125, 6.353638097048387, 6.546076903109806, 6.7049144617322165, 6.740712839990626, 6.751631802786779, 6.754431477862878, 6.755048906427488]",bc803be303e7ada8e4f9a608602fd36ed621d2250837a7d021638f3e0b28a5b3
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00008_truth1-1-1,1,100,100,8,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,5.323599622905209,1.5622404696351895,0.7065443346051934,7,True,False,8.908207757716121e-06,True,6.751340730913946,0.7501489701015496,False,53.0272297231904,53.0272297231904,1.0,,,,,0.03194479999365285,,,,,,,,,full_fixed_rank:original_start_3,0.11784345697962556,6.751340730913946,"[0.11784345697962556, 4.5393788221707325, 6.258040019864187, 6.497795380688592, 6.669853015770539, 6.725404075564089, 6.744601272215603, 6.751340730913946]",bc803be303e7ada8e4f9a608602fd36ed621d2250837a7d021638f3e0b28a5b3
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00008_truth1-1-1,1,100,100,8,fixed_rank,time_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,4,1.495463139885513,1.4416347351661571,0.03599447106631909,5,True,False,1.0186648928113148e-05,True,5.060033820752239,0.5622259800835822,False,37.47511740888548,37.47511740888548,1.0,,,,,0.017191399994771928,,,,,,,,,time_split_0,5.666068623941099,5.060033820752239,"[5.666068623941099, 5.1569763317743975, 5.086622651693604, 5.070797823630941, 5.06415753270625, 5.060033820752239]",bc803be303e7ada8e4f9a608602fd36ed621d2250837a7d021638f3e0b28a5b3
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00008_truth1-1-1,1,100,100,8,fixed_rank,time_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,5,1.62901390086164,1.5733122015260208,0.03419350768348674,5,True,False,1.2067030737399723e-05,True,6.313501063611788,0.7015001181790876,False,37.75327951483119,37.75327951483119,1.0,,,,,0.019036200013943017,,,,,,,,,time_split_1,6.755048906427489,6.313501063611788,"[6.755048906427489, 6.693987168862739, 6.470153398036144, 6.373595270224691, 6.331673555080817, 6.313501063611788]",bc803be303e7ada8e4f9a608602fd36ed621d2250837a7d021638f3e0b28a5b3
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00008_truth1-1-1,1,100,100,8,fixed_rank,unit_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,6,1.6755380676468492,1.6256779877145082,0.029757652717711885,5,True,False,1.4442588133043992e-05,True,4.900782227870543,0.5445313586522826,False,38.4870720124018,38.4870720124018,1.0,,,,,0.018577399983769283,,,,,,,,,unit_split_0,4.81720835962947,4.900782227870543,"[4.81720835962947, 4.724710569928878, 4.827198287144393, 4.877618829303116, 4.89404866752472, 4.900782227870543]",bc803be303e7ada8e4f9a608602fd36ed621d2250837a7d021638f3e0b28a5b3
