dgp,N,T,replication,target,record_type,true_rank_vector,status,failure_detail,config_hash,git_commit,replication_failure_status,any_near_singularity
1,50,50,9,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,9,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,9,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,9,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,9,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,9,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,9,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,10,A_entry,,,missing_target_record,,,,,False
1,50,50,10,B_entry,,,missing_target_record,,,,,False
1,50,50,10,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,10,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,10,A_full_mean,,,missing_target_record,,,,,False
1,50,50,10,B_full_mean,,,missing_target_record,,,,,False
1,50,50,10,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,10,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,10,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,10,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,10,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,10,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,10,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,10,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,10,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,10,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,10,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,10,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,11,A_entry,,,missing_target_record,,,,,False
1,50,50,11,B_entry,,,missing_target_record,,,,,False
1,50,50,11,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,11,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,11,A_full_mean,,,missing_target_record,,,,,False
1,50,50,11,B_full_mean,,,missing_target_record,,,,,False
1,50,50,11,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,11,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,11,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,11,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,11,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,11,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,11,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,11,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,11,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,11,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,11,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,11,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,12,A_entry,,,missing_target_record,,,,,False
1,50,50,12,B_entry,,,missing_target_record,,,,,False
1,50,50,12,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,12,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,12,A_full_mean,,,missing_target_record,,,,,False
1,50,50,12,B_full_mean,,,missing_target_record,,,,,False
1,50,50,12,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,12,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,12,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,12,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,12,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,12,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,12,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,12,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,12,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,12,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,12,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,12,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,13,A_entry,,,missing_target_record,,,,,False
1,50,50,13,B_entry,,,missing_target_record,,,,,False
1,50,50,13,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,13,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,13,A_full_mean,,,missing_target_record,,,,,False
1,50,50,13,B_full_mean,,,missing_target_record,,,,,False
1,50,50,13,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,13,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,13,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,13,A_G1_time_average,,,missing_target_record,,,,,False
