diagnostic_label,c_kappa,N,eligible_saved_replications,Exact,Under_only,Over_only,Mixed,modal_selected_rank,modal_count,selected_rank_distribution
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.07266638601368e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.08037408770202e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.08037408770202e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.105937716752453e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.105937716752453e-07,100,12,0,0,12,0,"(2,2,3)",3,"{""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,1,2)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.13158222066377e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.13158222066377e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.159873168177247e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.159873168177247e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.188262543978047e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
