semantic_replication_id,dgp,N,T,replication,reference_rank,competitor_rank,Q_hat_true,Q_hat_competitor,log_Q_hat_true,log_Q_hat_competitor,d_true,d_competitor,P_true,P_competitor,c_break_even,positive_finite_break_even,especially_requested_comparison
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(0,2,3)",2.873814054275375,2.8184832141562306,1.0556400862858655,1.03619887292702,297,487,100398.71397188924,164626.84748925947,3.0268999415322773e-07,True,False
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(0,3,3)",2.873814054275375,2.5072461335320124,1.0556400862858655,0.9191849928699302,297,582,100398.71397188924,196740.91424794457,1.4163584911382758e-06,True,False
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(1,3,2)",2.873814054275375,2.0698755007971306,1.0556400862858655,0.7274884609260732,297,586,100398.71397188924,198093.0854798892,3.358961425253866e-06,True,False
dgp1_N50_T50_r2026080903_truth1-1-1,1,50,50,2026080903,"(1,1,1)","(1,3,3)",2.873814054275375,1.8327719003745158,1.0556400862858655,0.6058295205110926,297,681,100398.71397188924,230207.15223857432,3.4651874083151593e-06,True,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,0,0)",3.2171804960685164,9.314847477947595,1.1685053536361754,2.231609630108184,597,0,169158.98786796117,0.0,6.284645527093281e-06,True,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(1,0,0)",3.2171804960685164,4.705374241690417,1.1685053536361754,1.548705311147306,597,199,169158.98786796117,56386.32928932039,3.371384183924353e-06,True,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,0,1)",3.2171804960685164,6.467429864822551,1.1685053536361754,1.8667787907707052,597,199,169158.98786796117,56386.32928932039,6.191868188046631e-06,True,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,1,0)",3.2171804960685164,7.5147093757123455,1.1685053536361754,2.0168623498972345,597,199,169158.98786796117,56386.32928932039,7.522718777348559e-06,True,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(1,0,1)",3.2171804960685164,3.871169929121087,1.1685053536361754,1.3535567686224868,597,398,169158.98786796117,112772.65857864078,3.2818489396038814e-06,True,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(1,1,0)",3.2171804960685164,4.033466762513493,1.1685053536361754,1.3946262450023168,597,398,169158.98786796117,112772.65857864078,4.010207690695853e-06,True,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,1,1)",3.2171804960685164,5.049625752476206,1.1685053536361754,1.6193141321205504,597,398,169158.98786796117,112772.65857864078,7.995001344585815e-06,True,True
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(1,0,2)",3.2171804960685164,3.634230330029638,1.1685053536361754,1.2903973499218502,597,595,169158.98786796117,168592.29109118407,0.00021509209383349139,True,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,1,2)",3.2171804960685164,4.603542429390235,1.1685053536361754,1.5268261004710173,597,595,169158.98786796117,168592.29109118407,0.0006322971322912389,True,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,1,3)",3.2171804960685164,4.262942621547708,1.1685053536361754,1.4499596780508561,597,790,169158.98786796117,223845.2268269503,-5.146712038941862e-06,False,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(1,1,2)",3.2171804960685164,3.0310045265209085,1.1685053536361754,1.1088940914829668,597,794,169158.98786796117,224978.62038050446,1.0679264529341577e-06,True,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,2,3)",3.2171804960685164,4.034300133252721,1.1685053536361754,1.3948328376698935,597,987,169158.98786796117,279664.85933949356,-2.0481036982005317e-06,False,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(0,3,3)",3.2171804960685164,3.817386218324605,1.1685053536361754,1.3395659523814885,597,1182,169158.98786796117,334917.7950752598,-1.0319849764084272e-06,False,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(2,1,3)",3.2171804960685164,2.715488746862082,1.1685053536361754,0.9989719544451714,597,1186,169158.98786796117,336051.18862881395,1.0158257750698358e-06,True,False
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)","(2,2,3)",3.2171804960685164,2.588957443385881,1.1685053536361754,0.9512552631626473,597,1383,169158.98786796117,391870.82114135724,9.754761894795087e-07,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(0,0,0)",3.1807783221312897,11.175014221111281,1.1571259222315702,2.413680413081488,597,0,169158.98786796117,0.0,7.428245502572613e-06,True,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,0,0)",3.1807783221312897,4.93506559487798,1.1571259222315702,1.5963659645656978,597,199,169158.98786796117,56386.32928932039,3.894916089326992e-06,True,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(0,0,1)",3.1807783221312897,6.634322892837586,1.1571259222315702,1.8922566117608952,597,199,169158.98786796117,56386.32928932039,6.518696098812725e-06,True,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(0,1,0)",3.1807783221312897,9.465509358349635,1.1571259222315702,2.247654598147243,597,199,169158.98786796117,56386.32928932039,9.670151343955455e-06,True,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,0,1)",3.1807783221312897,3.8151509354650712,1.1571259222315702,1.3389802276405798,597,398,169158.98786796117,112772.65857864078,3.2251488561333417e-06,True,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,1,0)",3.1807783221312897,4.271929037612403,1.1571259222315702,1.452065490474143,597,398,169158.98786796117,112772.65857864078,5.2306928285618086e-06,True,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(0,1,1)",3.1807783221312897,5.154482319651641,1.1571259222315702,1.639866689468226,597,398,169158.98786796117,112772.65857864078,8.561308624288958e-06,True,True
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,0,2)",3.1807783221312897,3.5483589215592555,1.1571259222315702,1.2664852209878996,597,595,169158.98786796117,168592.29109118407,0.00019297674389163856,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(2,0,1)",3.1807783221312897,3.6411692932812323,1.1571259222315702,1.2923048644818416,597,595,169158.98786796117,168592.29109118407,0.00023853839970479335,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,0,3)",3.1807783221312897,3.3391594249235714,1.1571259222315702,1.205719106130046,597,790,169158.98786796117,223845.2268269503,-8.885815668347096e-07,False,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(0,1,3)",3.1807783221312897,4.207986696342155,1.1571259222315702,1.4369843139147636,597,790,169158.98786796117,223845.2268269503,-5.117528596052615e-06,False,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,1,2)",3.1807783221312897,2.9690434149903178,1.1571259222315702,1.088239818440059,597,794,169158.98786796117,224978.62038050446,1.2340837925801765e-06,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,2,1)",3.1807783221312897,3.0238492474973726,1.1571259222315702,1.1065306050565689,597,794,169158.98786796117,224978.62038050446,9.064072065259832e-07,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(2,1,1)",3.1807783221312897,3.035230404630711,1.1571259222315702,1.1102873374885525,597,794,169158.98786796117,224978.62038050446,8.391059316360165e-07,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(0,2,3)",3.1807783221312897,3.9882269333752016,1.1571259222315702,1.3833467545365858,597,987,169158.98786796117,279664.85933949356,-2.047138575467393e-06,False,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,1,3)",3.1807783221312897,2.789198869842929,1.1571259222315702,1.0257544111742338,597,989,169158.98786796117,280231.55611627066,1.1827538800007514e-06,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,2,2)",3.1807783221312897,2.815190838953265,1.1571259222315702,1.035030052882854,597,991,169158.98786796117,280798.25289304776,1.0936642168083055e-06,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(0,3,3)",3.1807783221312897,3.781542125637659,1.1571259222315702,1.3301318961798794,597,1182,169158.98786796117,334917.7950752598,-1.0437211564387478e-06,False,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(1,2,3)",3.1807783221312897,2.6387003822589525,1.1571259222315702,0.9702865165015503,597,1186,169158.98786796117,336051.18862881395,1.1195214927853358e-06,True,False
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)","(2,2,3)",3.1807783221312897,2.5045348007417756,1.1571259222315702,0.9181030090041927,597,1383,169158.98786796117,391870.82114135724,1.0732384970939475e-06,True,False
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,100,2026080903,"(1,1,1)","(0,0,0)",3.195552467273645,9.773282118544602,1.1617599890857981,2.279652348078555,597,0,169158.98786796117,0.0,6.608530667405857e-06,True,True
