design,rank_stress,dgp,n,t,true_rank_vector,c_h,c_xi,intended_r2,achieved_r2,r2_scale_identified,pi_h,realized_calibration_h_share,population_var_u_tilde,population_var_h_raw,C_A,C_beta,C_H,C_Theta,calibration_seed,calibration_draws
rank_stress,True,2,100,100,"1,1,1",0.6546536707079772,1.851085364910212,0.65,0.6499999999969763,True,0.30000000000000004,0.30302230296349447,1.0,1.0,0.85,2.031384387633061,6.296800539990431,6.296800539990431,20260807,50
rank_stress,True,2,100,100,"2,1,1",0.6546536707079772,0.8350439423575189,0.65,0.6499999999990951,True,0.30000000000000004,0.2992622459116345,1.0,1.0,0.85,2.031384387633061,2.840552492514364,2.840552492514364,20260807,50
rank_stress,True,2,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5314418341578069,False,0.30000000000000004,0.3002831641747762,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,2,200,200,"1,1,1",0.6546536707079772,1.8382633321197204,0.65,0.6499999999991135,True,0.30000000000000004,0.2984111384828501,1.0,1.0,0.85,2.031384387633061,6.2531840841913455,6.2531840841913455,20260807,50
rank_stress,True,2,200,200,"2,1,1",0.6546536707079772,0.8383902514367484,0.65,0.6499999999986068,True,0.30000000000000004,0.30546828910629453,1.0,1.0,0.85,2.031384387633061,2.851935566043277,2.851935566043277,20260807,50
rank_stress,True,2,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5308464938821446,False,0.30000000000000004,0.2989798567917191,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
baseline,False,3,50,50,"1,1,1",0.6546536707079772,2.310923941089198,0.65,0.65,True,0.30000000000000004,0.30620237380748194,1.0,1.0,0.85,2.031384387633061,7.861024346023666,7.861024346023666,20260807,50
baseline,False,3,100,100,"1,1,1",0.6546536707079772,2.177252381020268,0.65,0.6499999999999975,True,0.30000000000000004,0.296478341514174,1.0,1.0,0.85,2.031384387633061,7.406316439203696,7.406316439203696,20260807,50
baseline,False,3,200,200,"1,1,1",0.6546536707079772,2.341718998174185,0.65,0.6499999999999999,True,0.30000000000000004,0.30486577571784695,1.0,1.0,0.85,2.031384387633061,7.9657792837254116,7.9657792837254116,20260807,50
baseline,False,3,400,400,"1,1,1",0.6546536707079772,2.2082572663416933,0.65,0.6499999999994963,True,0.30000000000000004,0.29901541325924746,1.0,1.0,0.85,2.031384387633061,7.511785145474714,7.511785145474714,20260807,50
rank_stress,True,3,50,50,"1,1,1",0.6546536707079772,2.148535475716313,0.65,0.6499999999998142,True,0.30000000000000004,0.3013006231819567,1.0,1.0,0.85,2.031384387633061,7.308630709386709,7.308630709386709,20260807,50
rank_stress,True,3,50,50,"2,1,1",0.6546536707079772,0.8688084453015157,0.65,0.6499999999931909,True,0.30000000000000004,0.3038984428727749,1.0,1.0,0.85,2.031384387633061,2.9554085355691804,2.9554085355691804,20260807,50
rank_stress,True,3,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5339217468685004,False,0.30000000000000004,0.30058727990423617,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,3,100,100,"1,1,1",0.6546536707079772,2.235340398045121,0.65,0.6499999999999366,True,0.30000000000000004,0.2983955010009898,1.0,1.0,0.85,2.031384387633061,7.603913299890244,7.603913299890244,20260807,50
rank_stress,True,3,100,100,"2,1,1",0.6546536707079772,0.888589258667198,0.65,0.649999999998918,True,0.30000000000000004,0.2987202568609733,1.0,1.0,0.85,2.031384387633061,3.0226965378642663,3.0226965378642663,20260807,50
rank_stress,True,3,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5322227606458266,False,0.30000000000000004,0.30223970499693575,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,3,200,200,"1,1,1",0.6546536707079772,2.2547798387816633,0.65,0.6499999999994039,True,0.30000000000000004,0.29644568737834487,1.0,1.0,0.85,2.031384387633061,7.670040061652475,7.670040061652475,20260807,50
rank_stress,True,3,200,200,"2,1,1",0.6546536707079772,0.8759634375012857,0.65,0.649999999991421,True,0.30000000000000004,0.2917529980629807,1.0,1.0,0.85,2.031384387633061,2.979747531274721,2.979747531274721,20260807,50
rank_stress,True,3,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5351422818034989,False,0.30000000000000004,0.3003968348026257,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
baseline,False,4,50,50,"1,1,1",0.6546536707079772,1.9996196966822253,0.65,0.6499999999999999,True,0.30000000000000004,0.2944790681661484,1.0,1.0,0.85,1.9596152422706632,6.802066843878312,6.802066843878312,20260807,50
baseline,False,4,100,100,"1,1,1",0.6546536707079772,1.9307376336648547,0.65,0.6499999999999999,True,0.30000000000000004,0.2971366880623206,1.0,1.0,0.85,1.9596152422706632,6.567752090044973,6.567752090044973,20260807,50
baseline,False,4,200,200,"1,1,1",0.6546536707079772,2.0028959492980847,0.65,0.65,True,0.30000000000000004,0.2977712069302425,1.0,1.0,0.85,1.9596152422706632,6.813211607718897,6.813211607718897,20260807,50
baseline,False,4,400,400,"1,1,1",0.6546536707079772,1.9831605726918267,0.65,0.65,True,0.30000000000000004,0.299165628431136,1.0,1.0,0.85,1.9596152422706632,6.746078166751292,6.746078166751292,20260807,50
rank_stress,True,4,50,50,"1,1,1",0.6546536707079772,2.4725313610476847,0.65,0.6500000000000001,True,0.30000000000000004,0.31088182709460116,1.0,1.0,0.85,1.9596152422706632,8.410761115894578,8.410761115894578,20260807,50
rank_stress,True,4,50,50,"2,1,1",0.6546536707079772,0.8640019173809609,0.65,0.6499999999946233,True,0.30000000000000004,0.29273063380723147,1.0,1.0,0.85,1.9596152422706632,2.939058264436711,2.939058264436711,20260807,50
rank_stress,True,4,50,50,"1,0,2",0.7301712917987002,1.0,0.65,0.5365897328913953,False,0.30000000000000004,0.3079694918234418,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,4,100,100,"1,1,1",0.6546536707079772,2.036523619027648,0.65,0.65,True,0.30000000000000004,0.3006542793513484,1.0,1.0,0.85,1.9596152422706632,6.927602187929662,6.927602187929662,20260807,50
rank_stress,True,4,100,100,"2,1,1",0.6546536707079772,0.8754529441613382,0.65,0.6499999999905752,True,0.30000000000000004,0.29661770223580813,1.0,1.0,0.85,1.9596152422706632,2.9780109961588495,2.9780109961588495,20260807,50
rank_stress,True,4,100,100,"1,0,2",0.7301712917987002,1.0,0.65,0.5265816679287206,False,0.30000000000000004,0.30053751454452843,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
rank_stress,True,4,200,200,"1,1,1",0.6546536707079772,2.0313324733207425,0.65,0.65,True,0.30000000000000004,0.3009350460368941,1.0,1.0,0.85,1.9596152422706632,6.909943570066841,6.909943570066841,20260807,50
rank_stress,True,4,200,200,"2,1,1",0.6546536707079772,0.8665765694048798,0.65,0.6499999999932109,True,0.30000000000000004,0.29633132923360966,1.0,1.0,0.85,1.9596152422706632,2.9478164073953343,2.9478164073953343,20260807,50
rank_stress,True,4,200,200,"1,0,2",0.7301712917987002,1.0,0.65,0.5210906542635242,False,0.30000000000000004,0.3004190894739402,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50
