dgp,N,T,method,target,attempted_replications,completed_dgp_replications,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,R_attempted,R_point,R_inference,success_count,point_retained_share,inference_retained_share,mean_truth,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,rejection_probability,mean_interval_length,runtime_median,runtime_mean,runtime_p10,runtime_p90,runtime_p95,replication_ids_json,failure_success,failure_calibration_failure,failure_full_fit_failure,failure_rank_pilot_failure,failure_rank_selection_failure,failure_rank_at_cap,failure_candidate_numerically_unresolved,failure_coefficient_bound_hit,failure_target_unsupported_selected_rank,failure_split_fit_failure,failure_split_rank_loss,failure_split_target_support_loss,failure_tangent_gram_eigensolver_failure,failure_tangent_gram_nearly_singular,failure_riesz_solver_failure,failure_riesz_target_instability,failure_nonfinite_estimate,failure_nonfinite_standard_error,failure_invalid_variance,failure_software_exception,target_support_failure_rate,total_inference_failure_rate,numerical_failure_rate
1,50,50,selected_rank,B_G2_minus_G1_time_average,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,-0.09156150672734725,-0.10944650099222358,-0.017884994264876344,0.10874291673247412,0.31467656450630876,0.10495959354238246,1.0,0.5,0.4114340463500649,93.86978104999434,93.86978104999434,93.56709492998925,94.17246716999944,94.21030293500007,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_G2_time_average,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.6501972140002819,0.7362441456742328,0.086046931673951,0.14731340854595604,0.29614501367019325,0.07487988844405055,0.5,1.0,0.29352376903343214,93.63521474999288,93.63521474999288,93.34560414999287,93.9248253499929,93.9610266749929,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_entry,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,1.2722188120549602,0.9132417842993831,-0.35897702775557727,0.6334614199779828,0.8556828964326849,0.37123761782193837,0.5,0.5,1.4552247212748881,91.46804015000089,91.46804015000089,91.34192306999903,91.59415723000275,91.60992186500297,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_fixed_time_mean,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.9482522428201632,0.814561579202492,-0.13369066361767135,0.5187460381544314,0.8835686451975372,0.2343505398761941,0.5,0.5,0.9186372358297166,91.62356449999788,91.62356449999788,91.48849065999676,91.75863833999901,91.77552256999915,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_full_mean,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.6959779673639552,0.7909673961703443,0.09498942880638894,0.11563321037413944,0.13880673141703878,0.05582442661097102,0.5,1.0,0.21882773123020519,92.0662797499972,92.0662797499972,91.90076170999673,92.23179778999766,92.2524875449977,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
2,50,50,fixed_rank,A_G1_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.4293234612108004,0.4808412149528232,0.05151775374202283,0.23585269830075764,0.23107026726298432,0.10795709939161946,0.6666666666666666,1.0,0.4231840533659703,0.6914543000020785,0.7147361000000577,0.6842913400003454,0.7544935799989616,0.762373489998572,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,50,50,fixed_rank,A_G1_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.5049678885139889,0.4558068025089172,-0.04916108600507176,0.05328726694627868,0.022491381500472706,0.031585327578555714,0.6666666666666666,0.6666666666666666,0.12381220898773783,0.9071399999957066,0.9474933000019519,0.8978902400063816,1.0132376800000202,1.0264998900005593,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,50,50,fixed_rank,A_G2_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.43427867807222037,0.5000231823664184,0.06574450429419797,0.26126506452471066,0.2725860256908103,0.1110989917568335,0.6666666666666666,1.0,0.435500045124212,0.7401078999973834,0.7642848000007992,0.7309294200036675,0.8073109399992973,0.8157113199995365,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,50,50,fixed_rank,A_G2_minus_G1_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.0049552168614200275,0.019181967413595204,0.014226750552175175,0.027172147558553513,0.04152496142801893,0.025490416046906786,1.0,0.0,0.09992059480575831,0.7937730999983614,0.823381866667963,0.7879659800062655,0.8706412599975011,0.8802497799973935,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,50,50,fixed_rank,A_G2_minus_G1_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.007309666229040747,0.005032957621601941,-0.002276708607438803,0.012421569829060631,0.03290123694077259,0.03844180342695545,0.6666666666666666,0.0,0.15068910043520223,1.141531400004169,1.1987241333360241,1.13689396000118,1.2834314000036102,1.3011689000035402,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
