semantic_replication_id,dgp,N,T,true_rank,replication,start_1_objective,start_2_objective,start_3_objective,best_finite_objective,worst_finite_objective,absolute_objective_spread_all_finite,relative_objective_spread_all_finite,best_start_number,valid_start_count,best_valid_objective,second_valid_objective,worst_accepted_finite_objective,best_two_valid_objective_gap,objective_agreement_tolerance,same_solution_all_starts_under_tolerance,objective_agreement_pass
dgp2_N100_T100_r00001_truth2-1-1,2,100,100,"(2,1,1)",1,0.19572070056372132,0.19568120903221078,0.19561903086197036,0.19561903086197036,0.19572070056372132,0.00010166970175096157,0.00010166970175096157,3,0,,,,,1e-06,False,False
dgp2_N100_T100_r00002_truth1-0-2,2,100,100,"(1,0,2)",2,0.28162735637235864,0.28133876110904166,0.2820493939564558,0.28133876110904166,0.2820493939564558,0.0007106328474141277,0.0007106328474141277,2,0,,,,,1e-06,False,False
dgp2_N100_T100_r00002_truth1-1-1,2,100,100,"(1,1,1)",2,0.9119120397737425,0.9223880201672672,0.9106039285388422,0.9106039285388422,0.9223880201672672,0.011784091628424975,0.011784091628424975,3,0,,,,,1e-06,False,False
dgp2_N100_T100_r00002_truth2-1-1,2,100,100,"(2,1,1)",2,0.20690770769200562,0.20502571995916155,0.2047580564562697,0.2047580564562697,0.20690770769200562,0.0021496512357359054,0.0021496512357359054,3,0,,,,,1e-06,False,False
dgp2_N100_T200_r00000_truth1-0-2,2,100,200,"(1,0,2)",0,0.34475821391965766,0.34569629203059904,0.3457151648031759,0.34475821391965766,0.3457151648031759,0.000956950883518215,0.000956950883518215,1,0,,,,,1e-06,False,False
dgp2_N100_T200_r00000_truth1-1-1,2,100,200,"(1,1,1)",0,1.2048152112147075,1.2047442831222157,1.2043344799088052,1.2043344799088052,1.2048152112147075,0.0004807313059023155,0.00039916760162734654,3,1,1.2048152112147075,,1.2048152112147075,,1e-06,False,False
dgp2_N100_T200_r00000_truth2-1-1,2,100,200,"(2,1,1)",0,0.22842545652404206,0.22872063010113794,0.22856294737832192,0.22842545652404206,0.22872063010113794,0.00029517357709588077,0.00029517357709588077,1,0,,,,,1e-06,False,False
dgp2_N100_T200_r00001_truth1-0-2,2,100,200,"(1,0,2)",1,0.3411156721810935,0.3426831224640171,0.34237444123899224,0.3411156721810935,0.3426831224640171,0.0015674502829235992,0.0015674502829235992,1,1,0.3426831224640171,,0.3426831224640171,,1e-06,False,False
dgp2_N100_T200_r00001_truth1-1-1,2,100,200,"(1,1,1)",1,1.1548832309429695,1.158357543641247,1.159058217154309,1.1548832309429695,1.159058217154309,0.004174986211339382,0.003615072155762864,1,1,1.158357543641247,,1.158357543641247,,1e-06,False,False
dgp2_N100_T200_r00001_truth2-1-1,2,100,200,"(2,1,1)",1,0.2324422652272913,0.23409144292549236,0.23355465983183585,0.2324422652272913,0.23409144292549236,0.0016491776982010542,0.0016491776982010542,1,0,,,,,1e-06,False,False
